t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,5397.0,11.0,7,0,0.0
2.0,7040.0,50.0,14,3,0.0
3.0,3192.0,43.0,18,15,0.0
4.0,9096.0,55.0,22,16,0.0
5.0,8095.0,105.0,36,15,0.0
6.0,5457.0,112.0,43,13,0.0
7.0,5969.0,134.0,51,18,0.0
8.0,7104.0,158.0,58,20,0.0
9.0,5419.0,177.0,65,26,0.0
10.0,7327.0,199.0,73,31,0.0
11.0,6708.0,227.0,84,30,0.0
12.0,5661.0,257.0,93,28,0.0
13.0,7278.0,281.0,99,35,0.0
14.0,5408.0,298.0,106,36,0.0
15.0,6306.0,325.0,116,38,0.0
16.0,3629.0,233.0,123,40,0.0
17.0,5481.0,1016.0,128,55,0.0
18.0,0.0,2176.0,128,64,0.0
19.0,0.0,2048.0,128,71,0.0
20.0,0.0,2176.0,128,86,0.0
21.0,0.0,2048.0,128,98,0.0
22.0,0.0,2176.0,128,107,0.0
23.0,0.0,2048.0,128,114,0.0
24.0,0.0,2048.0,128,120,0.0
25.0,0.0,2048.0,128,128,0.0
26.0,0.0,2048.0,128,136,0.0
27.0,0.0,2048.0,128,144,0.0
28.0,0.0,1920.0,128,151,0.0
29.0,0.0,2048.0,128,167,0.0
30.0,0.0,1920.0,128,172,0.0
31.0,0.0,2048.0,128,172,0.0
32.0,0.0,1920.0,128,172,0.0
33.0,0.0,1920.0,128,172,0.0
34.0,0.0,1920.0,128,172,0.0
35.0,0.0,1920.0,128,172,0.0
36.0,0.0,1920.0,128,172,0.0
37.0,0.0,1920.0,128,172,0.0
38.0,0.0,1792.0,128,172,0.0
39.0,0.0,1920.0,128,172,0.0
40.0,0.0,1792.0,128,172,0.0
41.0,0.0,1920.0,128,172,0.0
42.0,0.0,1792.0,128,172,0.0
43.0,0.0,1792.0,128,172,0.0
44.0,0.0,1792.0,128,172,0.0
45.0,0.0,1792.0,128,172,0.0
46.0,0.0,1792.0,128,172,0.0
47.0,0.0,1792.0,128,172,0.0
48.0,0.0,1150.0,128,170,0.0
49.0,3501.0,893.0,128,168,0.0
50.0,1074.0,1535.0,128,167,0.0
51.0,1017.0,1022.0,128,165,0.0
52.0,1883.0,1022.0,128,163,0.0
53.0,1086.0,1149.0,128,160,0.0
54.0,3056.0,638.0,128,158,0.0
55.0,2635.0,763.0,128,154,0.0
56.0,2790.0,766.0,127,152,0.0
57.0,2341.0,634.0,128,146,0.0
58.0,2414.0,765.0,128,143,0.0
59.0,2467.0,637.0,128,141,0.0
60.0,2081.0,1150.0,128,139,0.0
61.0,963.0,767.0,128,138,0.0
62.0,2840.0,764.0,128,134,0.0
63.0,1726.0,764.0,128,130,0.0
64.0,2323.0,1151.0,128,129,0.0
65.0,1689.0,893.0,128,126,0.0
66.0,2372.0,765.0,128,124,0.0
67.0,2709.0,1022.0,128,122,0.0
68.0,3047.0,638.0,128,120,0.0
69.0,3220.0,1407.0,128,119,0.0
70.0,0.0,1792.0,127,119,0.0
71.0,338.0,1278.0,128,117,0.0
