# power_sampler_nvidia.sh 2026-09-10T04:16:15Z
# host_cores=64
# NVIDIA-SMI version  : 560.35.05
# NVML version        : 560.35
# DRIVER version      : 560.35.05
# CUDA Version        : 12.6
# query_fields=index,uuid,name,pci.bus_id,power.draw,utilization.gpu,memory.used,memory.total,temperature.gpu
# devices_filter=0
# NOTE power is NVML milliwatt-resolution; util is utilization.gpu, a single
# NOTE per-GPU number (time-occupancy, NOT SM occupancy) -- mean/min/max are all it,
# NOTE pe_total=1 and pe_busy is empty because NVML has no pe_occupancy analogue.
# NOTE device_sn carries the GPU UUID; nvidia-smi reports serial as [N/A] here.
ts_info,ts_status,device_sn,pci_bdf,dev_name,power_w,util_mean_pct,util_min_pct,util_max_pct,pe_busy,pe_total,dram_used_ratio,temperature_c,raw_info,raw_status
1789013776.002800554,1789013776.002800554,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.84,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.84, 0, 1, 46068, 32",""
1789013777.003248207,1789013777.003248207,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013778.003921655,1789013778.003921655,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.85,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.85, 0, 1, 46068, 32",""
1789013779.003615285,1789013779.003615285,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.85,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.85, 0, 1, 46068, 32",""
1789013780.003419611,1789013780.003419611,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.85,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.85, 0, 1, 46068, 32",""
1789013781.003581304,1789013781.003581304,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.86,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.86, 0, 1, 46068, 32",""
1789013782.004025269,1789013782.004025269,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.85,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.85, 0, 1, 46068, 32",""
1789013783.003812424,1789013783.003812424,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.80,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.80, 0, 1, 46068, 32",""
1789013784.004223714,1789013784.004223714,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.84,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.84, 0, 1, 46068, 32",""
1789013785.004039451,1789013785.004039451,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.93,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.93, 0, 1, 46068, 32",""
1789013786.003835975,1789013786.003835975,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.93,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.93, 0, 1, 46068, 32",""
1789013787.004121968,1789013787.004121968,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.93,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.93, 0, 1, 46068, 32",""
1789013788.003718027,1789013788.003718027,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.88,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.88, 0, 1, 46068, 32",""
1789013789.003735916,1789013789.003735916,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.82,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.82, 0, 1, 46068, 32",""
1789013790.003911992,1789013790.003911992,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.83,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.83, 0, 1, 46068, 32",""
1789013791.003929297,1789013791.003929297,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.89,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.89, 0, 1, 46068, 32",""
1789013792.004058500,1789013792.004058500,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.93,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.93, 0, 1, 46068, 32",""
1789013793.003398320,1789013793.003398320,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.94,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.94, 0, 1, 46068, 32",""
1789013794.003672869,1789013794.003672869,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.89,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.89, 0, 1, 46068, 32",""
1789013795.003342016,1789013795.003342016,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013796.003946352,1789013796.003946352,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013797.003903778,1789013797.003903778,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013798.003912535,1789013798.003912535,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.91,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.91, 0, 1, 46068, 32",""
1789013799.004068147,1789013799.004068147,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013800.004007490,1789013800.004007490,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013801.004066336,1789013801.004066336,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.86,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.86, 0, 1, 46068, 32",""
1789013802.003639247,1789013802.003639247,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013803.004102943,1789013803.004102943,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013804.004052232,1789013804.004052232,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.81,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.81, 0, 1, 46068, 32",""
1789013805.003980595,1789013805.003980595,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.81,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.81, 0, 1, 46068, 32",""
1789013806.004122329,1789013806.004122329,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.86,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.86, 0, 1, 46068, 32",""
1789013807.003897187,1789013807.003897187,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.86,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.86, 0, 1, 46068, 32",""
1789013808.004140013,1789013808.004140013,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.86,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.86, 0, 1, 46068, 32",""
1789013809.003720688,1789013809.003720688,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.86,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.86, 0, 1, 46068, 32",""
1789013810.003257424,1789013810.003257424,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.91,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.91, 0, 1, 46068, 32",""
1789013811.003726675,1789013811.003726675,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.90,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.90, 0, 1, 46068, 32",""
1789013812.003449194,1789013812.003449194,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.80,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.80, 0, 1, 46068, 32",""
1789013813.003293419,1789013813.003293419,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.79,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.79, 0, 1, 46068, 32",""
1789013814.003418446,1789013814.003418446,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.84,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.84, 0, 1, 46068, 32",""
1789013815.003671299,1789013815.003671299,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.84,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.84, 0, 1, 46068, 32",""
1789013816.004188934,1789013816.004188934,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.84,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.84, 0, 1, 46068, 32",""
1789013817.003678449,1789013817.003678449,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.84,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.84, 0, 1, 46068, 32",""
1789013818.004282056,1789013818.004282056,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.79,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.79, 0, 1, 46068, 32",""
1789013819.004220277,1789013819.004220277,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.79,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.79, 0, 1, 46068, 32",""
1789013820.003874249,1789013820.003874249,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.88,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.88, 0, 1, 46068, 32",""
1789013821.004244784,1789013821.004244784,GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb,00000000:01:00.0,0,30.93,0,0,0,,1,2.1707e-05,32,"0, GPU-6e0d82b1-edc3-40ba-8f19-0f0a4b535efb, NVIDIA A40, 00000000:01:00.0, 30.93, 0, 1, 46068, 32",""
