t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,2358.0,22.0,1,0,0.0
2.0,0.0,35.0,1,0,0.0
3.0,1034.0,56.0,2,0,0.0
4.0,0.0,64.0,2,0,0.0
5.0,1320.0,81.0,3,0,0.0
6.0,0.0,96.0,3,0,0.0
7.0,685.0,118.0,4,0,0.0
8.0,0.0,128.0,4,0,0.0
9.0,298.0,152.0,5,0,0.0
10.0,0.0,160.0,5,0,0.0
11.0,399.0,178.0,6,0,0.0
12.0,0.0,192.0,6,0,0.0
13.0,1307.0,179.0,7,0,0.0
14.0,0.0,224.0,7,0,0.0
15.0,1379.0,198.0,8,0,0.0
16.0,0.0,248.0,8,0,0.0
17.0,289.0,258.0,9,0,0.0
18.0,0.0,271.0,8,0,0.0
19.0,1008.0,241.0,9,0,0.0
20.0,0.0,270.0,9,0,0.0
21.0,576.0,278.0,10,0,0.0
22.0,0.0,300.0,10,0,0.0
23.0,1479.0,262.0,11,0,0.0
24.0,0.0,330.0,11,0,0.0
25.0,305.0,334.0,12,0,0.0
26.0,0.0,360.0,12,0,0.0
27.0,2357.0,240.0,12,0,0.0
28.0,0.0,348.0,12,0,0.0
29.0,835.0,307.0,11,0,0.0
30.0,0.0,319.0,11,0,0.0
31.0,3452.0,176.0,12,0,0.0
32.0,0.0,324.0,11,0,0.0
33.0,1355.0,285.0,12,0,0.0
34.0,0.0,307.0,10,0,0.0
35.0,866.0,284.0,11,0,0.0
36.0,0.0,319.0,11,0,0.0
37.0,2884.0,201.0,12,0,0.0
38.0,0.0,336.0,12,0,0.0
39.0,539.0,348.0,13,0,0.0
40.0,0.0,364.0,13,0,0.0
41.0,1403.0,288.0,13,0,0.0
42.0,0.0,364.0,13,0,0.0
43.0,2197.0,276.0,14,0,0.0
44.0,0.0,378.0,14,0,0.0
45.0,483.0,373.0,13,0,0.0
46.0,0.0,364.0,13,0,0.0
47.0,461.0,362.0,14,0,0.0
48.0,0.0,392.0,13,0,0.0
49.0,268.0,349.0,12,0,0.0
50.0,0.0,336.0,12,0,0.0
51.0,437.0,348.0,12,0,0.0
52.0,0.0,336.0,12,0,0.0
53.0,348.0,349.0,13,0,0.0
54.0,0.0,364.0,13,0,0.0
55.0,327.0,376.0,14,0,0.0
56.0,0.0,380.0,13,0,0.0
57.0,363.0,376.0,14,0,0.0
58.0,0.0,392.0,14,0,0.0
59.0,624.0,378.0,14,0,0.0
60.0,0.0,406.0,14,0,0.0
61.0,519.0,402.0,15,0,0.0
62.0,0.0,408.0,14,0,0.0
63.0,319.0,398.0,13,0,0.0
64.0,0.0,377.0,13,0,0.0
65.0,346.0,389.0,12,0,0.0
66.0,0.0,360.0,12,0,0.0
67.0,1195.0,323.0,13,0,0.0
68.0,0.0,390.0,13,0,0.0
69.0,403.0,359.0,11,0,0.0
70.0,0.0,337.0,10,0,0.0
71.0,633.0,306.0,11,0,0.0
72.0,0.0,326.0,10,0,0.0
73.0,814.0,305.0,11,0,0.0
74.0,0.0,330.0,11,0,0.0
75.0,1092.0,309.0,12,0,0.0
76.0,0.0,354.0,11,0,0.0
77.0,1320.0,286.0,12,0,0.0
78.0,0.0,348.0,11,0,0.0
79.0,1484.0,286.0,12,0,0.0
80.0,0.0,360.0,12,0,0.0
81.0,455.0,362.0,13,0,0.0
82.0,0.0,359.0,12,0,0.0
83.0,468.0,361.0,13,0,0.0
84.0,0.0,376.0,12,0,0.0
85.0,611.0,349.0,13,0,0.0
86.0,0.0,361.0,11,0,0.0
