prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
1,0,0,0,0.001
1,128,0,0,0.001
1,256,0,0,0.001
1,512,0,0,0.001
1,1024,0,0,0.001
1,2048,0,0,0.001
1,4096,0,0,0.001
1,8192,0,0,0.001
2,0,0,0,0.001
2,128,0,0,0.001
2,256,0,0,0.001
2,512,0,0,0.001
2,1024,0,0,0.001
2,2048,0,0,0.001
2,4096,0,0,0.001
2,8192,0,0,0.001
4,0,0,0,0.001
4,128,0,0,0.001
4,256,0,0,0.001
4,512,0,0,0.001
4,1024,0,0,0.001
4,2048,0,0,0.001
4,4096,0,0,0.001
4,8192,0,0,0.001
8,0,0,0,0.001
8,128,0,0,0.001
8,256,0,0,0.001
8,512,0,0,0.001
8,1024,0,0,0.001
8,2048,0,0,0.001
8,4096,0,0,0.001
8,8192,0,0,0.001
16,0,0,0,33.33300082886126
16,128,0,0,0.001
16,256,0,0,0.001
16,512,0,0,0.001
16,1024,0,0,0.001
16,2048,0,0,0.001
16,4096,0,0,0.001
16,8192,0,0,0.001
32,0,0,0,133.92200162343215
32,128,0,0,0.001
32,256,0,0,0.001
32,512,0,0,0.001
32,1024,0,0,0.001
32,2048,0,0,0.001
32,4096,0,0,0.001
32,8192,0,0,0.001
64,0,0,0,353.0919984768843
64,128,0,0,0.001
64,256,0,0,0.001
64,512,0,0,0.001
64,1024,0,0,0.001
64,2048,0,0,0.001
64,4096,0,0,0.001
64,8192,0,0,0.001
128,0,0,0,788.6679995863233
128,128,0,0,0.001
128,256,0,0,0.001
128,512,0,0,0.001
128,1024,0,0,0.001
128,2048,0,0,0.001
128,4096,0,0,0.001
128,8192,0,0,0.001
256,0,0,0,1719.3219991895603
256,128,0,0,900.1139987958595
256,256,0,0,81.06600034807343
256,512,0,0,0.001
256,1024,0,0,0.001
256,2048,0,0,0.001
256,4096,0,0,0.001
256,8192,0,0,0.001
512,0,0,0,3679.408000607509
512,128,0,0,2942.6980017888127
512,256,0,0,2122.8040004643844
512,512,0,0,567.9309997503879
512,1024,0,0,0.001
512,2048,0,0,0.001
512,4096,0,0,0.001
512,8192,0,0,0.001
1024,0,0,0,7947.691998197115
1024,128,0,0,7262.1879990038
1024,256,0,0,6569.7530008037575
1024,512,0,0,5059.540000729612
1024,1024,0,0,2124.9439996609
1024,2048,0,0,0.001
1024,4096,0,0,0.001
1024,8192,0,0,0.001
2048,0,0,0,18161.131001761532
2048,128,0,0,17999.212997892755
2048,256,0,0,17202.93499965919
2048,512,0,0,16019.222999602789
2048,1024,0,0,13856.047999070142
2048,2048,0,0,9321.27899977786
2048,4096,0,0,642.8719989344245
2048,8192,0,0,0.001
0,0,1,128,0.001
0,0,1,256,0.001
0,0,1,512,0.001
0,0,1,1024,0.001
0,0,1,2048,0.001
0,0,1,4096,0.001
0,0,1,8192,0.001
0,0,2,128,0.001
0,0,2,256,0.001
0,0,2,512,0.001
0,0,2,1024,0.001
0,0,2,2048,0.001
0,0,2,4096,0.001
0,0,2,8192,0.001
0,0,4,128,0.001
0,0,4,256,0.001
0,0,4,512,0.001
0,0,4,1024,0.001
0,0,4,2048,0.001
0,0,4,4096,0.001
0,0,4,8192,0.001
0,0,8,128,0.001
0,0,8,256,0.001
0,0,8,512,0.001
0,0,8,1024,0.001
0,0,8,2048,0.001
0,0,8,4096,0.001
0,0,8,8192,0.001
0,0,16,128,0.001
0,0,16,256,0.001
0,0,16,512,0.001
0,0,16,1024,0.001
0,0,16,2048,0.001
0,0,16,4096,0.001
0,0,16,8192,0.001
0,0,32,128,0.001
0,0,32,256,0.001
0,0,32,512,0.001
0,0,32,1024,0.001
0,0,32,2048,0.001
0,0,32,4096,0.001
0,0,32,8192,0.001
0,0,64,128,0.001
0,0,64,256,0.001
0,0,64,512,0.001
0,0,64,1024,0.001
0,0,64,2048,0.001
0,0,64,4096,0.001
0,0,64,8192,0.001
0,0,128,128,0.001
0,0,128,256,0.001
0,0,128,512,0.001
0,0,128,1024,0.001
0,0,128,2048,0.001
0,0,128,4096,0.001
0,0,128,8192,0.001
0,0,256,128,0.001
0,0,256,256,0.001
0,0,256,512,0.001
0,0,256,1024,0.001
0,0,256,2048,0.001
0,0,256,4096,0.001
