layer,tokens,time_us
embedding,1,0.21999949240125716
embedding,2,18.490000002202578
embedding,4,19.369997971807607
embedding,8,18.629998521646485
embedding,16,22.1800000872463
embedding,32,23.180002244771458
embedding,64,22.41000038338825
embedding,128,25.61000110290479
embedding,256,25.47999974922277
embedding,512,32.46000051149167
embedding,1024,49.71000089426525
embedding,2048,74.77000144717749
layernorm,1,0.06000118446536362
layernorm,2,1.9899998733308166
layernorm,4,2.570001015556045
layernorm,8,4.170000465819612
layernorm,16,2.720000338740647
layernorm,32,3.649998689070344
layernorm,64,3.5099983506370336
layernorm,128,9.780002073966898
layernorm,256,15.270001313183457
layernorm,512,24.63000055286102
layernorm,1024,22.120999346952885
layernorm,2048,123.10099918977357
qkv_proj,1,220.7100005762186
qkv_proj,2,222.59000070334878
qkv_proj,4,224.7099982923828
qkv_proj,8,229.80000176175963
qkv_proj,16,232.4599990970455
qkv_proj,32,241.04000112856738
qkv_proj,64,247.9999984643655
qkv_proj,128,336.4299991517328
qkv_proj,256,693.390000378713
qkv_proj,512,1411.668998116511
qkv_proj,1024,2533.140001105494
qkv_proj,2048,5469.838999488275
rotary_emb,1,17.940001271199435
rotary_emb,2,82.76000153273344
rotary_emb,4,114.66999967524316
rotary_emb,8,175.89999879419338
rotary_emb,16,286.259999484173
rotary_emb,32,503.7399987486424
rotary_emb,64,966.5199995652074
rotary_emb,128,1874.6499972621677
rotary_emb,256,3734.979000000749
rotary_emb,512,7415.61900031229
rotary_emb,1024,14836.769001703942
rotary_emb,2048,29691.01700000465
o_proj,1,140.6800001859665
o_proj,2,147.44000145583414
o_proj,4,144.89999921352137
o_proj,8,154.89000179513823
o_proj,16,156.20999874954578
o_proj,32,161.11000149976462
o_proj,64,173.720000020694
o_proj,128,229.8700019309763
o_proj,256,430.30000051658135
o_proj,512,893.9199997257674
o_proj,1024,1615.069999388652
o_proj,2048,3308.360001028632
gate_up_proj,1,1024.0899991913466
gate_up_proj,2,1039.4099990662653
gate_up_proj,4,1042.2499999549473
gate_up_proj,8,1048.4699996595737
gate_up_proj,16,1071.869999577757
gate_up_proj,32,1111.8000020360341
gate_up_proj,64,1201.6100008622743
gate_up_proj,128,2374.8459989292314
gate_up_proj,256,4799.0040002332535
gate_up_proj,512,9851.607999735279
gate_up_proj,1024,27633.73600100749
gate_up_proj,2048,53611.41499997757
act_fn,1,2.7710011636372656
act_fn,2,2.921002305811271
act_fn,4,1.7599995771888644
act_fn,8,0.44999978854320943
act_fn,16,0.001
act_fn,32,0.001
act_fn,64,0.001
act_fn,128,0.001
act_fn,256,0.001
act_fn,512,0.001
act_fn,1024,0.001
act_fn,2048,0.001
down_proj,1,508.54899745900184
down_proj,2,519.7100017539924
down_proj,4,518.6090002098354
down_proj,8,519.4679997657659
down_proj,16,513.936998686404
down_proj,32,514.23600052658
down_proj,64,527.4479990475811
down_proj,128,761.4899986947421
down_proj,256,1355.915001113317
down_proj,512,2606.5889996971237
down_proj,1024,4888.9310000959085
down_proj,2048,3165.62100124429
final_layernorm,1,0.001
final_layernorm,2,7.6219985203351825
final_layernorm,4,4.629999239114113
final_layernorm,8,3.7809986679349095
final_layernorm,16,4.150999302510172
final_layernorm,32,2.3610009520780295
final_layernorm,64,3.0990013328846544
final_layernorm,128,9.081000825972296
final_layernorm,256,9.3809994723415
final_layernorm,512,23.09299998159986
final_layernorm,1024,64.19199962692801
final_layernorm,2048,70.11099842202384
