layer,sequences,time_us
lm_head,1,4583.218998959637
lm_head,2,4603.219000273384
lm_head,4,4629.940000086208
lm_head,8,4659.444999560947
lm_head,16,4712.959000244155
lm_head,32,4869.0830008126795
lm_head,64,5990.109002596
lm_head,128,9518.762000880088
lm_head,256,25976.914999773726
sampler,1,161.63999862328637
sampler,2,344.043000950478
sampler,4,353.7440006766701
sampler,8,423.63199827377684
sampler,16,559.1070002992637
sampler,32,521.8029982643202
sampler,64,824.5689987234073
sampler,128,1257.3789990710793
sampler,256,0.001
