t_s,power_w,util
  0.1,67.81,92.2
  1.3,65.66,0.0
  2.4,37.85,0.0
  3.6,37.85,0.0
  4.7,30.87,0.0
  5.9,20.06,0.0
  7.0,20.12,0.0
  8.2,20.07,0.0
  9.3,19.92,0.0
 10.5,19.94,0.0
 11.6,19.90,0.0
 12.8,19.93,0.0
 13.9,19.87,0.0
 15.0,19.88,0.0
 16.2,19.96,0.0
 17.3,19.92,0.0
 18.5,19.83,0.0
 19.6,19.84,0.0
 20.8,19.85,0.0
 21.9,19.82,0.0
 23.1,19.92,0.0
 24.2,19.76,0.0
 25.4,19.77,0.0
 26.5,19.74,0.0
 27.7,19.76,0.0
 28.8,19.78,0.0
 30.0,19.67,0.0
 31.1,19.74,0.0
 32.3,19.68,0.0
 33.4,19.87,0.0
 34.5,19.73,0.0
 35.7,19.67,0.0
 36.8,19.70,0.0
 38.0,19.68,0.0
 39.1,19.77,0.0
 40.3,19.65,0.0
 41.4,19.68,0.0
 42.6,19.66,0.0
 43.7,19.71,0.0
 44.9,19.71,0.0
 46.0,19.71,0.0
 47.2,19.68,0.0
 48.3,19.51,0.0
 49.5,19.71,0.0
 50.6,19.60,0.0
 51.7,19.66,0.0
 52.9,19.66,0.0
 54.0,19.60,0.0
 55.2,19.66,0.0
 56.3,19.51,0.0
 57.5,19.63,0.0
 58.6,19.59,0.0
 59.8,19.67,0.0
 60.9,19.67,0.0
 62.1,19.50,0.0
 63.2,19.72,0.0
 64.4,19.65,0.0
 65.5,19.57,0.0
 66.7,19.54,0.0
 67.8,19.56,0.0
 68.9,19.60,0.0
 70.1,19.54,0.0
 71.2,19.54,0.0
 72.4,19.51,0.0
 73.5,19.67,0.0
 74.7,19.50,0.0
