t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,5695.0,12.0,7,0,0.0
2.0,6437.0,39.0,14,3,0.0
3.0,3497.0,43.0,17,13,0.0
4.0,8557.0,53.0,22,16,0.0
5.0,7969.0,101.0,36,15,0.0
6.0,6122.0,111.0,42,13,0.0
7.0,5969.0,132.0,50,19,0.0
8.0,5872.0,155.0,57,21,0.0
9.0,6346.0,174.0,64,27,0.0
10.0,4626.0,193.0,70,34,0.0
11.0,7023.0,216.0,80,35,0.0
12.0,5903.0,246.0,88,33,0.0
13.0,5291.0,268.0,95,40,0.0
14.0,5844.0,288.0,100,43,0.0
15.0,4000.0,201.0,106,48,0.0
16.0,6306.0,325.0,116,48,0.0
17.0,5991.0,355.0,127,51,0.0
18.0,3119.0,1278.0,128,64,0.0
19.0,0.0,2048.0,128,71,0.0
20.0,0.0,2176.0,128,86,0.0
21.0,0.0,2048.0,128,98,0.0
22.0,0.0,2176.0,128,107,0.0
23.0,0.0,2048.0,128,114,0.0
24.0,0.0,2048.0,128,120,0.0
25.0,0.0,2048.0,128,128,0.0
26.0,0.0,1920.0,128,136,0.0
27.0,0.0,2048.0,128,144,0.0
28.0,0.0,2048.0,128,151,0.0
29.0,0.0,1920.0,128,167,0.0
30.0,0.0,2048.0,128,172,0.0
31.0,0.0,1920.0,128,172,0.0
32.0,0.0,1920.0,128,172,0.0
33.0,0.0,1920.0,128,172,0.0
34.0,0.0,1920.0,128,172,0.0
35.0,0.0,1920.0,128,172,0.0
36.0,0.0,1920.0,128,172,0.0
37.0,0.0,1792.0,128,172,0.0
38.0,0.0,1920.0,128,172,0.0
39.0,0.0,1792.0,128,172,0.0
40.0,0.0,1920.0,128,172,0.0
41.0,0.0,1792.0,128,172,0.0
42.0,0.0,1792.0,128,172,0.0
43.0,0.0,1792.0,128,172,0.0
44.0,0.0,1792.0,128,172,0.0
45.0,0.0,1792.0,128,172,0.0
46.0,0.0,1792.0,128,172,0.0
47.0,0.0,1792.0,128,172,0.0
48.0,0.0,1792.0,128,172,0.0
49.0,0.0,1278.0,128,170,0.0
50.0,3501.0,893.0,128,168,0.0
51.0,1074.0,1151.0,128,167,0.0
52.0,1017.0,1279.0,127,166,0.0
53.0,1883.0,765.0,128,163,0.0
54.0,1086.0,1150.0,128,161,0.0
55.0,1788.0,894.0,127,159,0.0
56.0,2626.0,636.0,128,155,0.0
57.0,2714.0,638.0,128,153,0.0
58.0,2007.0,765.0,126,150,0.0
59.0,3002.0,762.0,127,144,0.0
60.0,3189.0,381.0,128,142,0.0
61.0,1717.0,1151.0,128,141,0.0
62.0,1704.0,1022.0,128,139,0.0
63.0,1415.0,765.0,128,136,0.0
64.0,2540.0,1020.0,126,132,0.0
65.0,2934.0,509.0,128,129,0.0
66.0,482.0,1406.0,128,127,0.0
67.0,2259.0,638.0,128,125,0.0
68.0,3402.0,766.0,128,124,0.0
69.0,2361.0,893.0,128,121,0.0
70.0,2930.0,639.0,128,120,0.0
71.0,1603.0,1151.0,128,119,0.0
72.0,0.0,1663.0,128,118,0.0
73.0,338.0,1279.0,128,117,0.0
74.0,2050.0,1278.0,128,115,0.0
75.0,1361.0,511.0,128,114,0.0
76.0,3581.0,765.0,128,112,0.0
77.0,1838.0,1022.0,128,110,0.0
78.0,1447.0,1150.0,126,108,0.0
79.0,3847.0,378.0,127,103,0.0
80.0,2236.0,638.0,128,101,0.0
81.0,1220.0,1150.0,128,99,0.0
82.0,2346.0,765.0,127,96,0.0
83.0,2468.0,636.0,128,92,0.0
84.0,1770.0,765.0,128,89,0.0
85.0,2812.0,380.0,127,87,0.0
86.0,4340.0,765.0,128,84,0.0
87.0,1158.0,507.0,128,81,0.0
88.0,5111.0,635.0,128,76,0.0
89.0,2642.0,380.0,127,73,0.0
90.0,4369.0,509.0,127,70,0.0
91.0,2662.0,892.0,127,66,0.0
92.0,3429.0,379.0,128,62,0.0
93.0,3424.0,375.0,125,58,0.0
94.0,5228.0,378.0,127,54,0.0
95.0,1520.0,380.0,127,52,0.0
96.0,5712.0,380.0,128,49,0.0
97.0,1796.0,1149.0,128,46,0.0
98.0,739.0,1663.0,128,45,0.0
99.0,0.0,1920.0,128,45,0.0
100.0,359.0,1663.0,128,44,0.0
101.0,0.0,1792.0,128,44,0.0
102.0,0.0,1920.0,128,44,0.0
103.0,0.0,1920.0,128,44,0.0
104.0,0.0,1792.0,128,44,0.0
105.0,0.0,1920.0,128,44,0.0
106.0,0.0,1792.0,128,44,0.0
107.0,0.0,1920.0,128,44,0.0
108.0,0.0,1792.0,128,44,0.0
109.0,0.0,1792.0,128,44,0.0
110.0,0.0,1792.0,128,44,0.0
111.0,0.0,1792.0,128,44,0.0
112.0,0.0,1792.0,128,44,0.0
113.0,0.0,1792.0,128,44,0.0
114.0,820.0,1407.0,128,43,0.0
115.0,0.0,1792.0,128,43,0.0
116.0,0.0,1664.0,128,43,0.0
117.0,0.0,1792.0,128,43,0.0
118.0,1788.0,508.0,128,39,0.0
119.0,863.0,1792.0,128,39,0.0
120.0,1065.0,1021.0,128,36,0.0
121.0,2119.0,894.0,128,34,0.0
122.0,888.0,1407.0,128,33,0.0
123.0,867.0,1148.0,128,29,0.0
124.0,1849.0,509.0,128,26,0.0
125.0,777.0,1407.0,128,25,0.0
126.0,1176.0,1022.0,128,23,0.0
127.0,2199.0,894.0,128,21,0.0
128.0,0.0,1534.0,128,19,0.0
129.0,3955.0,509.0,128,17,0.0
130.0,1616.0,1023.0,128,16,0.0
131.0,0.0,1535.0,128,15,0.0
132.0,1905.0,894.0,128,13,0.0
133.0,2046.0,638.0,128,11,0.0
134.0,1649.0,1535.0,128,10,0.0
135.0,1126.0,1279.0,128,9,0.0
136.0,1458.0,1151.0,128,8,0.0
137.0,533.0,1407.0,128,7,0.0
138.0,1029.0,1149.0,128,5,0.0
139.0,2340.0,766.0,127,3,0.0
140.0,2249.0,1023.0,127,2,0.0
141.0,1318.0,1150.0,127,0,0.0
142.0,0.0,1624.0,120,0,0.0
143.0,0.0,1611.0,110,0,0.0
144.0,0.0,1620.0,105,0,0.0
145.0,0.0,1498.0,95,0,0.0
146.0,0.0,1530.0,86,0,0.0
147.0,0.0,1328.0,80,0,0.0
148.0,0.0,1310.0,75,0,0.0
149.0,0.0,1241.0,71,0,0.0
150.0,0.0,1261.0,68,0,0.0
151.0,0.0,1198.0,66,0,0.0
152.0,0.0,1153.0,63,0,0.0
153.0,0.0,1157.0,58,0,0.0
154.0,0.0,1081.0,56,0,0.0
155.0,0.0,1064.0,52,0,0.0
156.0,0.0,1020.0,49,0,0.0
157.0,0.0,980.0,43,0,0.0
158.0,0.0,989.0,43,0,0.0
159.0,0.0,946.0,43,0,0.0
160.0,0.0,970.0,40,0,0.0
161.0,0.0,906.0,39,0,0.0
162.0,0.0,842.0,35,0,0.0
163.0,0.0,827.0,33,0,0.0
164.0,0.0,758.0,32,0,0.0
165.0,0.0,737.0,29,0,0.0
166.0,0.0,676.0,27,0,0.0
167.0,0.0,662.0,24,0,0.0
168.0,0.0,600.0,24,0,0.0
169.0,0.0,546.0,20,0,0.0
170.0,0.0,439.0,14,0,0.0
171.0,0.0,364.0,12,0,0.0
172.0,0.0,331.0,11,0,0.0
173.0,0.0,310.0,10,0,0.0
174.0,0.0,211.0,5,0,0.0
175.0,0.0,152.0,4,0,0.0
176.0,0.0,72.0,1,0,0.0
177.0,0.0,35.0,1,0,0.0
178.0,0.0,35.0,1,0,0.0
179.0,0.0,35.0,1,0,0.0
180.0,0.0,23.0,0,0,0.0
