t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,4712.0,6.0,7,0,0.0
2.0,4068.0,14.0,11,0,0.0
3.0,3657.0,37.0,16,12,0.0
4.0,7999.0,47.0,19,19,0.0
5.0,5692.0,59.0,24,26,0.0
6.0,4521.0,51.0,34,20,0.0
7.0,6308.0,106.0,40,29,0.0
8.0,5765.0,126.0,48,32,0.0
9.0,4235.0,539.0,49,46,0.0
10.0,0.0,1344.0,47,65,0.0
11.0,0.0,1265.0,46,72,0.0
12.0,0.0,1281.0,45,82,0.0
13.0,0.0,1237.0,44,95,0.0
14.0,0.0,1194.0,42,108,0.0
15.0,0.0,1105.0,40,118,0.0
16.0,0.0,1101.0,39,134,0.0
17.0,0.0,1087.0,38,145,0.0
18.0,0.0,1064.0,38,154,0.0
19.0,0.0,1046.0,37,163,0.0
20.0,0.0,1026.0,36,178,0.0
21.0,0.0,1001.0,35,191,0.0
22.0,0.0,974.0,34,201,0.0
23.0,0.0,939.0,33,209,0.0
24.0,0.0,924.0,33,215,0.0
25.0,0.0,903.0,32,225,0.0
26.0,0.0,905.0,31,233,0.0
27.0,0.0,511.0,31,237,0.0
28.0,0.0,275.0,32,242,0.0
29.0,0.0,703.0,32,259,0.0
30.0,0.0,350.0,32,261,0.0
31.0,0.0,872.0,31,261,0.0
32.0,0.0,573.0,30,261,0.0
33.0,0.0,569.0,30,260,0.0
34.0,0.0,813.0,29,261,0.0
35.0,0.0,781.0,29,259,0.0
36.0,0.0,267.0,30,256,0.0
37.0,0.0,381.0,32,253,0.0
38.0,0.0,806.0,30,252,0.0
39.0,940.0,191.0,33,248,0.0
40.0,1313.0,522.0,35,245,0.0
41.0,3867.0,352.0,36,242,0.0
42.0,3692.0,212.0,39,235,0.0
43.0,3962.0,76.0,41,232,0.0
44.0,3365.0,241.0,44,226,0.0
45.0,6708.0,237.0,51,217,0.0
46.0,3730.0,364.0,53,214,0.0
47.0,0.0,1458.0,51,216,0.0
48.0,0.0,1015.0,50,216,0.0
49.0,0.0,1374.0,48,218,0.0
50.0,0.0,768.0,48,217,0.0
51.0,0.0,1199.0,47,217,0.0
52.0,0.0,1298.0,45,219,0.0
53.0,0.0,989.0,45,218,0.0
54.0,0.0,1241.0,44,219,0.0
55.0,0.0,789.0,43,219,0.0
56.0,0.0,1198.0,42,220,0.0
57.0,0.0,1160.0,41,221,0.0
58.0,0.0,746.0,41,220,0.0
59.0,0.0,776.0,41,219,0.0
60.0,0.0,650.0,41,218,0.0
61.0,0.0,651.0,42,215,0.0
62.0,0.0,955.0,41,216,0.0
63.0,0.0,969.0,40,216,0.0
64.0,0.0,1134.0,38,218,0.0
65.0,0.0,1051.0,37,219,0.0
66.0,0.0,811.0,36,219,0.0
67.0,0.0,1008.0,35,219,0.0
68.0,0.0,457.0,36,217,0.0
69.0,0.0,395.0,36,215,0.0
70.0,0.0,748.0,36,214,0.0
71.0,0.0,878.0,36,213,0.0
72.0,750.0,525.0,35,213,0.0
73.0,0.0,796.0,34,213,0.0
74.0,1181.0,747.0,34,212,0.0
75.0,0.0,939.0,33,212,0.0
76.0,1102.0,494.0,33,211,0.0
77.0,3103.0,273.0,36,205,0.0
78.0,2217.0,388.0,36,204,0.0
79.0,2264.0,696.0,37,202,0.0
80.0,0.0,398.0,38,199,0.0
81.0,5601.0,339.0,39,195,0.0
82.0,2206.0,391.0,43,189,0.0
83.0,4120.0,567.0,46,184,0.0
84.0,2008.0,182.0,50,178,0.0
85.0,5481.0,303.0,53,170,0.0
86.0,3842.0,271.0,55,167,0.0
87.0,2835.0,732.0,56,165,0.0
88.0,798.0,664.0,58,161,0.0
89.0,1086.0,1488.0,56,163,0.0
90.0,0.0,1479.0,53,166,0.0
91.0,0.0,1419.0,52,167,0.0
92.0,0.0,1385.0,50,169,0.0
93.0,0.0,1329.0,48,171,0.0
94.0,0.0,1296.0,48,171,0.0
95.0,0.0,799.0,47,171,0.0
96.0,0.0,1020.0,46,171,0.0
97.0,0.0,1012.0,46,171,0.0
98.0,0.0,768.0,45,171,0.0
99.0,0.0,1201.0,44,172,0.0
100.0,0.0,1188.0,44,172,0.0
101.0,0.0,1165.0,43,173,0.0
102.0,0.0,1131.0,41,175,0.0
103.0,0.0,970.0,40,175,0.0
104.0,0.0,991.0,39,176,0.0
105.0,0.0,959.0,38,176,0.0
106.0,0.0,721.0,39,174,0.0
107.0,0.0,779.0,39,173,0.0
108.0,0.0,606.0,37,171,0.0
109.0,0.0,361.0,39,166,0.0
110.0,0.0,351.0,40,164,0.0
111.0,0.0,643.0,40,161,0.0
112.0,1788.0,634.0,39,159,0.0
113.0,1268.0,505.0,38,158,0.0
114.0,2635.0,636.0,40,154,0.0
115.0,1959.0,277.0,42,150,0.0
116.0,3172.0,416.0,44,145,0.0
117.0,2414.0,629.0,44,144,0.0
118.0,2467.0,540.0,45,142,0.0
119.0,0.0,1204.0,43,144,0.0
120.0,0.0,601.0,44,142,0.0
121.0,2081.0,480.0,43,139,0.0
122.0,2378.0,731.0,44,136,0.0
123.0,2160.0,496.0,45,135,0.0
124.0,991.0,825.0,44,134,0.0
125.0,822.0,458.0,47,130,0.0
126.0,3190.0,471.0,48,126,0.0
127.0,1052.0,863.0,48,125,0.0
128.0,1320.0,1277.0,47,126,0.0
129.0,0.0,1297.0,46,127,0.0
130.0,0.0,903.0,45,127,0.0
131.0,0.0,1200.0,44,128,0.0
132.0,0.0,1218.0,42,130,0.0
133.0,0.0,759.0,42,129,0.0
134.0,0.0,1113.0,41,130,0.0
135.0,0.0,1126.0,39,132,0.0
136.0,0.0,544.0,40,129,0.0
137.0,0.0,987.0,39,130,0.0
138.0,0.0,660.0,40,128,0.0
139.0,0.0,677.0,39,128,0.0
140.0,0.0,1091.0,38,127,0.0
141.0,0.0,540.0,38,127,0.0
142.0,0.0,792.0,36,124,0.0
143.0,2709.0,219.0,37,123,0.0
144.0,1734.0,663.0,36,123,0.0
145.0,0.0,502.0,36,121,0.0
146.0,2930.0,539.0,35,121,0.0
147.0,0.0,734.0,36,119,0.0
148.0,1603.0,491.0,36,118,0.0
149.0,1292.0,394.0,36,116,0.0
150.0,2457.0,634.0,35,115,0.0
151.0,0.0,588.0,34,112,0.0
152.0,5419.0,322.0,36,110,0.0
153.0,1447.0,700.0,35,109,0.0
154.0,633.0,517.0,35,107,0.0
155.0,493.0,869.0,34,107,0.0
156.0,0.0,645.0,35,105,0.0
157.0,2721.0,749.0,34,106,0.0
158.0,0.0,370.0,35,104,0.0
159.0,3456.0,248.0,39,98,0.0
160.0,3179.0,553.0,40,95,0.0
161.0,1109.0,837.0,39,95,0.0
162.0,0.0,1091.0,38,96,0.0
163.0,0.0,606.0,39,93,0.0
164.0,1791.0,657.0,38,93,0.0
165.0,505.0,685.0,39,91,0.0
166.0,0.0,1018.0,37,93,0.0
167.0,0.0,631.0,38,91,0.0
168.0,0.0,1026.0,36,93,0.0
169.0,0.0,969.0,34,94,0.0
170.0,0.0,599.0,35,93,0.0
171.0,0.0,945.0,34,94,0.0
172.0,0.0,878.0,33,93,0.0
173.0,0.0,313.0,35,91,0.0
174.0,1231.0,626.0,35,90,0.0
175.0,0.0,717.0,34,90,0.0
176.0,0.0,908.0,33,91,0.0
177.0,0.0,659.0,33,90,0.0
178.0,1581.0,361.0,33,88,0.0
179.0,1941.0,548.0,33,87,0.0
180.0,805.0,391.0,33,86,0.0
181.0,867.0,809.0,33,85,0.0
182.0,727.0,708.0,32,86,0.0
183.0,0.0,596.0,32,85,0.0
184.0,1158.0,563.0,31,83,0.0
185.0,2958.0,128.0,35,78,0.0
186.0,4099.0,249.0,38,74,0.0
