prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,2047,46.906875
0,0,2,2396,88.30328252306498
0,0,4,2207,131.298297783454
0,0,9,2194,197.95661492643967
0,0,15,2201,254.21153550915028
0,0,29,2220,329.72962555239883
128,0,0,0,25.1196875
128,896,0,0,90.216875
128,1920,0,0,92.7884375
128,3968,0,0,148.743125
256,0,0,0,54.27125
256,768,0,0,122.13562499999999
256,1792,0,0,153.489375
256,3840,0,0,262.2503125
384,0,0,0,46.48
384,128,0,0,96.30625
384,384,0,0,102.8759375
384,1664,0,0,219.0603125
384,3712,0,0,346.12125
512,0,0,0,103.460625
512,256,0,0,157.109375
512,1536,0,0,247.71468750000003
512,3584,0,0,589.2553125
640,0,0,0,126.485625
640,128,0,0,154.91125
640,384,0,0,179.20749999999998
640,1408,0,0,290.86062499999997
640,3456,0,0,545.59125
768,0,0,0,163.7084375
768,1280,0,0,331.829375
768,3328,0,0,652.90375
896,0,0,0,211.268125
896,128,0,0,227.565625
896,1152,0,0,386.1271875
896,3200,0,0,745.67125
1024,0,0,0,297.215
1024,1024,0,0,531.6103125
1024,3072,0,0,960.9693749999999
