tokens,executions,vendor_stage_us,harness_sum_us,vendor_over_harness,source
1,16473,388.88,306.6,1.2684,Composed (fused batch-1 graph)
2,190905,482.448,299.807,1.6092,Tokenwise
4,114642,480.481,290.389,1.6546,Tokenwise
8,46332,471.023,295.043,1.5965,Tokenwise
16,60687,477.029,304.868,1.5647,Tokenwise
32,39600,495.699,324.183,1.5291,Tokenwise
64,5346,510.421,332.905,1.5332,Tokenwise
128,33,565.633,377.861,1.4969,Tokenwise
256,198,792.711,560.332,1.4147,Tokenwise
384,462,1122.75,846.324,1.3266,Tokenwise
512,396,1431.491,951.74,1.5041,Tokenwise
1024,6765,2685.716,2305.879,1.1647,Tokenwise
