# power_sampler.sh 2026-09-08T09:35:23Z
# host_cores=96
# - furiosa-smi
#   2026.1.1
# 
# - device driver
#   2026.3.1, e28c5c0
# 
# info_fields=arch,core_clock,dev_name,device_sn,device_uuid,firmware,governor,pci_bdf,pci_dev,power,temperature
# status_fields=arch,device,liveness,memory,pe_utilizations
# devices_filter=npu0
# NOTE power is quantised to 1 W; util is per-PE (mean/min/max over the card's PEs)
ts_info,ts_status,device_sn,pci_bdf,dev_name,power_w,util_mean_pct,util_min_pct,util_max_pct,pe_busy,pe_total,dram_used_ratio,temperature_c,raw_info,raw_status
"1788860125.006252008","1788860125.155810728","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"58.54","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""58.54°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860126.004528640","1788860126.163542705","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"58.35","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""58.35°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860127.003817408","1788860127.184684069","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"58.17","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""58.17°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860128.004731702","1788860128.155441344","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"58.35","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""58.35°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860129.004762816","1788860129.209149971","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"58.17","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""58.17°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860130.004824078","1788860130.161048713","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"57.98","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""57.98°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860131.004089230","1788860131.153917817","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"57.80","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""57.80°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860132.004802557","1788860132.159117609","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"57.80","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""57.80°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860133.005047714","1788860133.156475261","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"57.42","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""57.42°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
"1788860134.004451060","1788860134.158954494","RNGD-A","0000:03:00.0","npu0","42.00",0,0,0,0,8,0,"57.24","{""arch"":""rngd"",""dev_name"":""npu0"",""device_uuid"":""<redacted-uuid>"",""device_sn"":""RNGD-A"",""firmware"":""2026.3.0, 2d3f72a"",""temperature"":""57.24°C"",""power"":""42.00 W"",""core_clock"":""2000 MHz"",""governor"":""Performance"",""pci_bdf"":""0000:03:00.0"",""pci_dev"":""510:0""}","{""arch"":""rngd"",""device"":""npu0"",""liveness"":""alive"",""memory"":{""DRAM"":{""used_size"":0,""total_size"":51002736640,""used_ratio"":0}},""pe_utilizations"":[{""pe_core"":0,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":1,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":2,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":3,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":4,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":5,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":6,""pe_occupancy"":false,""pe_utilization"":0},{""pe_core"":7,""pe_occupancy"":false,""pe_utilization"":0}]}"
