layer,sequences,compute_us,dma_us,time_us
lm_head,1,164.4814000000184,1342.4337999999984,1346.6248000000003
lm_head,2,166.42860000001457,1348.152800000001,1352.1844000000067
lm_head,4,179.3172000000126,1353.7045999999998,1373.3876
lm_head,8,190.4301999999876,1355.3976000000025,1383.0656000000022
lm_head,16,179.96339999998708,1377.9989999999987,1391.281000000005
lm_head,32,408.8070000000005,1504.4731999999963,1541.509799999996
lm_head,64,796.2445999999916,1521.7644000000114,1649.221400000001
lm_head,128,1149.6410000000099,1949.7476000000206,1437.9222000000168
lm_head,256,2531.7627999999913,1828.8769999999636,2598.3570000000095
sampler,1,5.571400000000722,6.9905999999977215,9.232800000000134
sampler,2,9.386199999999917,11.463600000000316,13.942000000000098
sampler,4,9.570400000000655,15.44700000000098,15.051400000000513
sampler,8,14.021199999999954,21.74640000000063,21.724600000000102
sampler,16,25.980799999999682,33.615200000000144,38.01199999999953
sampler,32,46.2430000000003,61.93139999999962,67.81240000000007
sampler,64,77.48859999999908,73.13380000000002,122.98259999999945
sampler,128,154.18159999999926,179.2388000000004,218.05039999999872
sampler,256,307.8784000000047,422.824000000002,371.8255999999998
