truth winner: cuda-a40-node_a40a-tp4-dp1-s128-t8192  V=-73,560.0
degradable pool: 11  penalty: 198,990.0
  k=1 set=0 ['link_bw:fabric-rngd0-a40a'] done
  k=1 set=1 ['link_bw:fabric-rngd0-a40b'] done
  k=1 set=2 ['link_bw:fabric-rngd1-a40a'] done
  k=1 set=3 ['link_bw:fabric-rngd1-a40b'] done
  k=1 set=4 ['link_bw:fabric-rngd0-rngd1'] done
  k=1 set=5 ['link_bw:fabric-a40a-a40b'] done
  k=1 set=6 ['profile:cuda-a40-node_a40a'] done
  k=1 set=7 ['profile:cuda-a40-node_a40b'] done
  k=1 set=8 ['profile:furiosa-rngd-card-node_rngd0'] done
  k=1 set=9 ['profile:furiosa-rngd-card-node_rngd1'] done
  k=1 set=10 ['sim_error:domain'] done
  k=2 set=0 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b'] done
  k=2 set=1 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a'] done
  k=2 set=2 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b'] done
  k=2 set=3 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1'] done
  k=2 set=4 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-a40a-a40b'] done
  k=2 set=5 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40a'] done
  k=2 set=6 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40b'] done
  k=2 set=7 ['link_bw:fabric-rngd0-a40a', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=8 ['link_bw:fabric-rngd0-a40a', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=9 ['link_bw:fabric-rngd0-a40a', 'sim_error:domain'] done
  k=2 set=10 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a'] done
  k=2 set=11 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40b'] done
  k=2 set=12 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd0-rngd1'] done
  k=2 set=13 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-a40a-a40b'] done
  k=2 set=14 ['link_bw:fabric-rngd0-a40b', 'profile:cuda-a40-node_a40a'] done
  k=2 set=15 ['link_bw:fabric-rngd0-a40b', 'profile:cuda-a40-node_a40b'] done
  k=2 set=16 ['link_bw:fabric-rngd0-a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=17 ['link_bw:fabric-rngd0-a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=18 ['link_bw:fabric-rngd0-a40b', 'sim_error:domain'] done
  k=2 set=19 ['link_bw:fabric-rngd1-a40a', 'link_bw:fabric-rngd1-a40b'] done
  k=2 set=20 ['link_bw:fabric-rngd1-a40a', 'link_bw:fabric-rngd0-rngd1'] done
  k=2 set=21 ['link_bw:fabric-rngd1-a40a', 'link_bw:fabric-a40a-a40b'] done
  k=2 set=22 ['link_bw:fabric-rngd1-a40a', 'profile:cuda-a40-node_a40a'] done
  k=2 set=23 ['link_bw:fabric-rngd1-a40a', 'profile:cuda-a40-node_a40b'] done
  k=2 set=24 ['link_bw:fabric-rngd1-a40a', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=25 ['link_bw:fabric-rngd1-a40a', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=26 ['link_bw:fabric-rngd1-a40a', 'sim_error:domain'] done
  k=2 set=27 ['link_bw:fabric-rngd1-a40b', 'link_bw:fabric-rngd0-rngd1'] done
  k=2 set=28 ['link_bw:fabric-rngd1-a40b', 'link_bw:fabric-a40a-a40b'] done
  k=2 set=29 ['link_bw:fabric-rngd1-a40b', 'profile:cuda-a40-node_a40a'] done
  k=2 set=30 ['link_bw:fabric-rngd1-a40b', 'profile:cuda-a40-node_a40b'] done
  k=2 set=31 ['link_bw:fabric-rngd1-a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=32 ['link_bw:fabric-rngd1-a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=33 ['link_bw:fabric-rngd1-a40b', 'sim_error:domain'] done
  k=2 set=34 ['link_bw:fabric-rngd0-rngd1', 'link_bw:fabric-a40a-a40b'] done
  k=2 set=35 ['link_bw:fabric-rngd0-rngd1', 'profile:cuda-a40-node_a40a'] done
  k=2 set=36 ['link_bw:fabric-rngd0-rngd1', 'profile:cuda-a40-node_a40b'] done
  k=2 set=37 ['link_bw:fabric-rngd0-rngd1', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=38 ['link_bw:fabric-rngd0-rngd1', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=39 ['link_bw:fabric-rngd0-rngd1', 'sim_error:domain'] done
  k=2 set=40 ['link_bw:fabric-a40a-a40b', 'profile:cuda-a40-node_a40a'] done
  k=2 set=41 ['link_bw:fabric-a40a-a40b', 'profile:cuda-a40-node_a40b'] done
  k=2 set=42 ['link_bw:fabric-a40a-a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=43 ['link_bw:fabric-a40a-a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=44 ['link_bw:fabric-a40a-a40b', 'sim_error:domain'] done
  k=2 set=45 ['profile:cuda-a40-node_a40a', 'profile:cuda-a40-node_a40b'] done
  k=2 set=46 ['profile:cuda-a40-node_a40a', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=47 ['profile:cuda-a40-node_a40a', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=48 ['profile:cuda-a40-node_a40a', 'sim_error:domain'] done
  k=2 set=49 ['profile:cuda-a40-node_a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=2 set=50 ['profile:cuda-a40-node_a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=51 ['profile:cuda-a40-node_a40b', 'sim_error:domain'] done
  k=2 set=52 ['profile:furiosa-rngd-card-node_rngd0', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=2 set=53 ['profile:furiosa-rngd-card-node_rngd0', 'sim_error:domain'] done
  k=2 set=54 ['profile:furiosa-rngd-card-node_rngd1', 'sim_error:domain'] done
  k=3 set=0 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a'] done
  k=3 set=1 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40b'] done
  k=3 set=2 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd0-rngd1'] done
  k=3 set=3 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'link_bw:fabric-a40a-a40b'] done
  k=3 set=4 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'profile:cuda-a40-node_a40a'] done
  k=3 set=5 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'profile:cuda-a40-node_a40b'] done
  k=3 set=6 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=7 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=8 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-a40b', 'sim_error:domain'] done
  k=3 set=9 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'link_bw:fabric-rngd1-a40b'] done
  k=3 set=10 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'link_bw:fabric-rngd0-rngd1'] done
  k=3 set=11 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'link_bw:fabric-a40a-a40b'] done
  k=3 set=12 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'profile:cuda-a40-node_a40a'] done
  k=3 set=13 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'profile:cuda-a40-node_a40b'] done
  k=3 set=14 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=15 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=16 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40a', 'sim_error:domain'] done
  k=3 set=17 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'link_bw:fabric-rngd0-rngd1'] done
  k=3 set=18 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'link_bw:fabric-a40a-a40b'] done
  k=3 set=19 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'profile:cuda-a40-node_a40a'] done
  k=3 set=20 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'profile:cuda-a40-node_a40b'] done
  k=3 set=21 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=22 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=23 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd1-a40b', 'sim_error:domain'] done
  k=3 set=24 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1', 'link_bw:fabric-a40a-a40b'] done
  k=3 set=25 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1', 'profile:cuda-a40-node_a40a'] done
  k=3 set=26 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1', 'profile:cuda-a40-node_a40b'] done
  k=3 set=27 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=28 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=29 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-rngd0-rngd1', 'sim_error:domain'] done
  k=3 set=30 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-a40a-a40b', 'profile:cuda-a40-node_a40a'] done
  k=3 set=31 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-a40a-a40b', 'profile:cuda-a40-node_a40b'] done
  k=3 set=32 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-a40a-a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=33 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-a40a-a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=34 ['link_bw:fabric-rngd0-a40a', 'link_bw:fabric-a40a-a40b', 'sim_error:domain'] done
  k=3 set=35 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40a', 'profile:cuda-a40-node_a40b'] done
  k=3 set=36 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40a', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=37 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40a', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=38 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40a', 'sim_error:domain'] done
  k=3 set=39 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40b', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=40 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40b', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=41 ['link_bw:fabric-rngd0-a40a', 'profile:cuda-a40-node_a40b', 'sim_error:domain'] done
  k=3 set=42 ['link_bw:fabric-rngd0-a40a', 'profile:furiosa-rngd-card-node_rngd0', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=43 ['link_bw:fabric-rngd0-a40a', 'profile:furiosa-rngd-card-node_rngd0', 'sim_error:domain'] done
  k=3 set=44 ['link_bw:fabric-rngd0-a40a', 'profile:furiosa-rngd-card-node_rngd1', 'sim_error:domain'] done
