prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.2777
0,0,1,32,12.2137
0,0,1,64,12.3737
0,0,1,128,17.5263
0,0,1,256,17.9003
0,0,1,512,19.6597
0,0,1,1024,23.564
0,0,1,2048,34.188
0,0,1,4096,49.7737
0,0,1,8192,80.3877
0,0,1,16384,137.287
0,0,2,16,18.017
0,0,2,32,18.0063
0,0,2,64,18.2193
0,0,2,128,21.7407
0,0,2,256,23.126
0,0,2,512,26.7533
0,0,2,1024,36.5993
0,0,2,2048,52.3763
0,0,2,4096,81.5613
0,0,2,8192,137.608
0,0,2,16384,246.862
0,0,4,16,18.4327
0,0,4,32,18.6457
0,0,4,64,19.0627
0,0,4,128,22.9347
0,0,4,256,27.575
0,0,4,512,35.532
0,0,4,1024,50.8837
0,0,4,2048,79.8543
0,0,4,4096,135.313
0,0,4,8192,242.06
0,0,4,16384,460.366
0,0,8,16,18.8163
0,0,8,32,19.2113
0,0,8,64,20.2997
0,0,8,128,29.356
0,0,8,256,38.402
0,0,8,512,52.888
0,0,8,1024,82.6723
0,0,8,2048,141.404
0,0,8,4096,253.378
0,0,8,8192,468.44
0,0,8,16384,913.114
0,0,16,16,24.3643
0,0,16,32,25.2487
0,0,16,64,27.2227
0,0,16,128,37.698
0,0,16,256,54.1683
0,0,16,512,86.8633
0,0,16,1024,145.778
0,0,16,2048,261.464
0,0,16,4096,492.068
0,0,16,8192,917.797
0,0,16,16384,1817.8
0,0,32,16,34.999
0,0,32,32,35.6173
0,0,32,64,39.0733
0,0,32,128,59.928
0,0,32,256,94.3947
0,0,32,512,158.931
0,0,32,1024,279.492
0,0,32,2048,523.238
0,0,32,4096,1011.6
0,0,32,8192,2007.18
0,0,32,16384,4010.35
0,0,64,16,55.2033
0,0,64,32,56.4613
0,0,64,64,61.6777
0,0,64,128,98.9063
0,0,64,256,160.477
0,0,64,512,283.907
0,0,64,1024,516.965
0,0,64,2048,988.082
0,0,64,4096,1929.47
0,0,64,8192,3826.98
0,0,64,16384,7654.24
0,0,128,16,94.3097
0,0,128,32,95.2047
0,0,128,64,103.078
0,0,128,128,175.699
0,0,128,256,283.876
0,0,128,512,518.554
0,0,128,1024,977.478
0,0,128,2048,1900.47
0,0,128,4096,3751.77
0,0,128,8192,7459.46
0,0,128,16384,14888.8
0,0,256,16,181.054
0,0,256,32,184.468
0,0,256,64,202.644
0,0,256,128,327.578
0,0,256,256,544.901
0,0,256,512,1012.2
0,0,256,1024,1926.04
0,0,256,2048,3766.69
0,0,256,4096,7430.89
0,0,256,8192,14770.9
0,0,256,16384,29431.1
16,0,0,0,12.4697
16,0,1,16,17.9633
16,0,1,32,18.1237
16,0,1,64,18.23
16,0,1,128,23.6487
16,0,1,256,30.327
16,0,1,512,37.122
16,0,1,1024,50.893
16,0,1,2048,78.7127
16,0,1,4096,134.171
16,0,1,8192,247.296
16,0,1,16384,480.032
16,0,2,16,23.2123
16,0,2,32,23.3077
16,0,2,64,23.4997
16,0,2,128,29.3667
16,0,2,256,36.4927
16,0,2,512,51.4477
16,0,2,1024,80.0777
16,0,2,2048,136.486
16,0,2,4096,254.401
16,0,2,8192,488.065
16,0,2,16384,958.218
16,0,4,16,28.663
16,0,4,32,29.0783
16,0,4,64,29.6443
16,0,4,128,41.0903
16,0,4,256,55.042
16,0,4,512,82.8303
16,0,4,1024,138.811
16,0,4,2048,254.571
16,0,4,4096,483.551
16,0,4,8192,934.098
16,0,4,16384,1828.21
16,0,8,16,44.3327
16,0,8,32,45.2503
16,0,8,64,46.146
16,0,8,128,67.5657
16,0,8,256,92.4093
16,0,8,512,141.606
16,0,8,1024,241.311
16,0,8,2048,441.576
16,0,8,4096,840.792
16,0,8,8192,1645.5
16,0,8,16384,3767.82
16,0,16,16,76.2057
16,0,16,32,77.4217
16,0,16,64,79.6513
16,0,16,128,121.135
16,0,16,256,167.239
16,0,16,512,258.955
16,0,16,1024,455.956
16,0,16,2048,842.317
16,0,16,4096,1888.03
16,0,16,8192,4985.46
16,0,16,16384,11332.3
16,0,32,16,142.694
16,0,32,32,146.257
16,0,32,64,148.732
16,0,32,128,230.698
16,0,32,256,323.875
16,0,32,512,563.498
16,0,32,1024,1101.59
16,0,32,2048,2838.62
16,0,32,4096,6428.68
16,0,32,8192,13133
16,0,32,16384,26547.5
16,0,64,16,269.248
