layer,tokens,time_us
act_fn,1,6.08
act_fn,2,6.80533
act_fn,3,6.848
act_fn,4,6.79467
act_fn,5,6.79433
act_fn,6,6.83733
act_fn,7,6.89
act_fn,8,6.976
act_fn,9,7.05067
act_fn,10,7.008
act_fn,11,7.06133
act_fn,12,7.09267
act_fn,13,7.093
act_fn,14,7.05067
act_fn,15,7.12533
act_fn,16,7.08267
act_fn,20,7.26367
act_fn,24,7.755
act_fn,28,8.17033
act_fn,32,8.73633
act_fn,36,9.312
act_fn,40,9.87733
act_fn,44,10.6777
act_fn,48,11.402
act_fn,52,12.3733
act_fn,56,13.1727
act_fn,60,14.3143
act_fn,64,15.4343
act_fn,80,20.373
act_fn,96,26.3143
act_fn,112,30.1013
act_fn,128,34.816
act_fn,144,36.2237
act_fn,160,40.725
act_fn,176,45.9517
act_fn,192,51.466
act_fn,208,55.4443
act_fn,224,59.8183
act_fn,240,64.0953
act_fn,256,69.2257
act_fn,272,70.879
act_fn,288,75.8497
act_fn,304,80.2767
act_fn,320,84.3407
act_fn,336,88.4153
act_fn,352,93.7377
act_fn,368,98.5483
act_fn,384,102.314
act_fn,400,108.842
act_fn,416,113.097
act_fn,432,118.378
act_fn,448,122.132
act_fn,464,127.316
act_fn,480,130.922
act_fn,496,135.53
act_fn,512,140.074
act_fn,528,145.642
act_fn,544,148.979
act_fn,560,153.503
act_fn,576,158.345
act_fn,592,161.844
act_fn,608,166.804
act_fn,624,171.231
act_fn,640,175.998
act_fn,656,176.105
act_fn,672,180.702
act_fn,688,185.268
act_fn,704,188.863
act_fn,720,194.27
act_fn,736,200.724
act_fn,752,202.185
act_fn,768,207.155
act_fn,784,212.97
act_fn,800,217.961
act_fn,816,222.899
act_fn,832,227.475
act_fn,848,232.19
act_fn,864,235.166
act_fn,880,241.715
act_fn,896,244.521
act_fn,912,244.415
act_fn,928,247.699
act_fn,944,253.213
act_fn,960,256.329
act_fn,976,260.798
act_fn,992,265.257
act_fn,1008,269.598
act_fn,1024,273.982
act_fn,1040,281.512
act_fn,1056,286.078
act_fn,1072,289.203
act_fn,1088,294.963
act_fn,1104,300.082
act_fn,1120,304.637
act_fn,1136,308.008
act_fn,1152,311.965
act_fn,1168,318.024
act_fn,1184,322.013
act_fn,1200,326.002
act_fn,1216,330.248
