regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,71.328,80.322,72.609,0.1424
pure,2,1,0.5,4.0,0,0,256,1024,640,89.346,108.673,92.736,0.1754
pure,2,1,0.5,4.0,0,0,512,2048,1280,122.977,156.676,125.793,0.0836
pure,2,1,0.5,4.0,0,0,1024,4096,2560,197.891,244.517,182.051,-0.3397
pure,2,1,0.5,4.0,0,0,2048,8192,5120,285.382,414.086,283.269,-0.0164
pure,2,1,0.5,4.0,0,0,4096,16384,10240,490.694,740.848,505.353,0.0586
mixed,2,1,0.5,4.0,16,0,128,512,320,113.921,154.435,135.329,0.5284
mixed,2,1,0.5,4.0,16,0,256,1024,640,175.779,240.293,195.267,0.3021
mixed,2,1,0.5,4.0,16,0,512,2048,1280,282.469,409.35,320.517,0.2999
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,500.263,763.436,571.208,0.2696
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,942.543,1464.662,1089.489,0.2814
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,1821.308,2871.183,2148.9,0.312
mixed,2,1,0.5,4.0,16,512,128,512,320,161.539,198.563,164.802,0.0881
mixed,2,1,0.5,4.0,16,512,256,1024,640,219.651,286.885,224.259,0.0685
mixed,2,1,0.5,4.0,16,512,512,2048,1280,329.831,453.35,383.27,0.4326
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,538.697,784.108,608.33,0.2837
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,958.351,1477.367,1076.274,0.2272
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,1830.877,2883.086,2140.549,0.2943
mixed,2,1,0.5,4.0,16,1024,128,512,320,221.027,243.46,222.115,0.0485
mixed,2,1,0.5,4.0,16,1024,256,1024,640,264.964,328.389,263.075,-0.0298
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,372.709,510.249,393.476,0.151
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,590.153,846.509,679.051,0.3468
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,1020.271,1527.548,1106.769,0.1705
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,1903.806,2903.697,2111.617,0.2078
mixed,2,1,0.5,4.0,16,2048,128,512,320,327.013,382.567,322.854,-0.0749
mixed,2,1,0.5,4.0,16,2048,256,1024,640,389.765,415.686,390.983,0.047
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,457.225,588.811,456.198,-0.0078
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,680.074,949.391,743.052,0.2338
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,1131.09,1672.857,1275.796,0.2671
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,2028.865,3092.051,2154.34,0.118
mixed,2,1,0.5,4.0,16,4096,128,512,320,497.673,552.81,490.823,-0.1242
mixed,2,1,0.5,4.0,16,4096,256,1024,640,583.849,678.731,578.057,-0.061
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,735.789,770.796,731.562,-0.1207
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,860.172,1113.361,850.958,-0.0364
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,1299.54,1812.926,1428.729,0.2516
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,2196.644,3275.286,2491.59,0.2734
mixed,2,1,0.5,4.0,16,8192,128,512,320,831.532,888.654,832.877,0.0235
mixed,2,1,0.5,4.0,16,8192,256,1024,640,920.527,1012.88,912.367,-0.0884
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1083.987,1282.901,1078.932,-0.0254
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,1408.472,1459.128,1421.686,0.2609
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1653.02,2137.664,1664.762,0.0242
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,2553.035,3581.754,2837.934,0.2769
mixed,2,1,0.5,4.0,32,0,128,512,320,113.506,155.267,135.684,0.5311
mixed,2,1,0.5,4.0,32,0,256,1024,640,177.186,241.573,193.538,0.254
mixed,2,1,0.5,4.0,32,0,512,2048,1280,283.749,411.301,320.452,0.2877
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,498.44,765.003,573.258,0.2807
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,937.135,1461.398,1094.353,0.2999
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,1818.91,2869.898,2141.058,0.3065
mixed,2,1,0.5,4.0,32,512,128,512,320,162.435,199.716,165.122,0.0721
mixed,2,1,0.5,4.0,32,512,256,1024,640,221.54,287.845,223.779,0.0338
mixed,2,1,0.5,4.0,32,512,512,2048,1280,331.013,456.232,384.263,0.4253
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,539.848,790.764,611.082,0.2839
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,962.034,1473.08,1077.618,0.2262
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,1830.462,2882.383,2138.466,0.2928
mixed,2,1,0.5,4.0,32,1024,128,512,320,221.699,243.78,222.692,0.045
