pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.005,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0106,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.01,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0048,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0049,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0006,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0119,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.005,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.013,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0178,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0067,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0102,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0294,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0485,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0037,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0042,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1154,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0081,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0116,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1211,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0014,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0281,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0535,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0217,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0061,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.3897,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0137,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0429,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.1695,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1945,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0002,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0061,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0002,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.001,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0077,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0017,2
