layer,sequences,time_us
lm_head,1,1509.87
lm_head,2,1355.54
lm_head,3,1356.44
lm_head,4,1358.12
lm_head,5,1358.18
lm_head,6,1359.72
lm_head,7,1360.86
lm_head,8,1361.34
lm_head,9,1361
lm_head,10,1359.77
lm_head,11,1363.2
lm_head,12,1363.55
lm_head,13,1364.23
lm_head,14,1365
lm_head,15,1364.04
lm_head,16,1364.26
lm_head,20,1470.22
lm_head,24,1473.99
lm_head,28,1470.74
lm_head,32,1475.14
lm_head,36,1477.83
lm_head,40,1478.85
lm_head,44,1481.41
lm_head,48,1488.56
lm_head,52,1488.9
lm_head,56,1491.34
lm_head,60,1494.28
lm_head,64,1498.99
lm_head,80,1498.14
lm_head,96,1500.42
lm_head,112,1504.97
lm_head,128,1510.6
lm_head,144,1750.44
lm_head,160,1757.64
lm_head,176,1766.06
lm_head,192,1873.11
lm_head,208,2163.99
lm_head,224,1913.18
lm_head,240,1920.28
lm_head,256,1927.04
sampler,1,15.765
sampler,2,16.4903
sampler,3,16.789
sampler,4,18.837
sampler,5,20.928
sampler,6,21.675
sampler,7,24.586
sampler,8,25.418
sampler,9,28.8203
sampler,10,30.2293
sampler,11,34.4317
sampler,12,38.0153
sampler,13,40.6707
sampler,14,45.5677
sampler,15,48.5437
sampler,16,51.0817
sampler,20,64.01
sampler,24,76.042
sampler,28,85.7597
sampler,32,99.104
sampler,36,107.455
sampler,40,123.455
sampler,44,134.292
sampler,48,147.561
sampler,52,157.161
sampler,56,166.911
sampler,60,175.294
sampler,64,191.614
sampler,80,224.755
sampler,96,273.47
sampler,112,309.683
sampler,128,366.514
sampler,144,406.119
sampler,160,435.74
sampler,176,477.19
sampler,192,517.381
sampler,208,559.878
sampler,224,601.476
sampler,240,642.159
sampler,256,716.804
