layer,tokens,time_us
act_fn,1,4.52267
act_fn,2,4.14967
act_fn,3,4.04267
act_fn,4,4.128
act_fn,5,4.05333
act_fn,6,4.11733
act_fn,7,4.12833
act_fn,8,4.17033
act_fn,9,4.10667
act_fn,10,4.09567
act_fn,11,4.14933
act_fn,12,4.149
act_fn,13,4.13867
act_fn,14,4.17067
act_fn,15,4.21333
act_fn,16,4.128
act_fn,20,4.65067
act_fn,24,4.85333
act_fn,28,5.205
act_fn,32,5.43967
act_fn,36,5.74933
act_fn,40,5.856
act_fn,44,6.11167
act_fn,48,6.29333
act_fn,52,6.62367
act_fn,56,6.89067
act_fn,60,7.232
act_fn,64,7.56267
act_fn,80,9.62133
act_fn,96,12.427
act_fn,112,14.7413
act_fn,128,17.728
act_fn,144,20.2773
act_fn,160,23.2417
act_fn,176,26.57
act_fn,192,29.194
act_fn,208,32.3517
act_fn,224,34.6233
act_fn,240,36.7993
act_fn,256,39.7117
act_fn,272,42.1323
act_fn,288,44.799
act_fn,304,47.615
act_fn,320,50.09
act_fn,336,52.4363
act_fn,352,55.786
act_fn,368,57.567
act_fn,384,60.351
act_fn,400,59.551
act_fn,416,61.6533
act_fn,432,64.3827
act_fn,448,66.9537
act_fn,464,69.5777
act_fn,480,72.095
act_fn,496,74.8043
act_fn,512,77.183
act_fn,528,80.3297
act_fn,544,83.3267
act_fn,560,86.3343
act_fn,576,89.0013
act_fn,592,90.687
act_fn,608,93.6513
act_fn,624,96.127
act_fn,640,97.8973
act_fn,656,101.972
act_fn,672,104.233
act_fn,688,106.399
act_fn,704,109.523
act_fn,720,111.23
act_fn,736,113.545
act_fn,752,116.638
act_fn,768,118.409
act_fn,784,118.078
act_fn,800,120.713
act_fn,816,123.348
act_fn,832,125.481
act_fn,848,128.126
act_fn,864,130.654
act_fn,880,132.329
act_fn,896,135.134
act_fn,912,138.899
act_fn,928,141.406
act_fn,944,144.168
act_fn,960,146.835
act_fn,976,149.587
act_fn,992,151.315
act_fn,1008,153.918
act_fn,1024,155.912
act_fn,1040,160.275
act_fn,1056,161.705
act_fn,1072,164.264
act_fn,1088,166.761
act_fn,1104,169.31
act_fn,1120,171.24
act_fn,1136,174.814
act_fn,1152,175.976
act_fn,1168,175.923
act_fn,1184,178.387
act_fn,1200,181.096
act_fn,1216,182.6
act_fn,1232,185.736
act_fn,1248,187.677
act_fn,1264,190.813
act_fn,1280,193
act_fn,1296,197.384
act_fn,1312,200.658
act_fn,1328,201.875
act_fn,1344,205.138
act_fn,1360,208.029
act_fn,1376,209.832
act_fn,1392,212.029
act_fn,1408,214.27
act_fn,1424,216.477
act_fn,1440,218.898
act_fn,1456,222.461
act_fn,1472,224.477
act_fn,1488,226.205
act_fn,1504,229.149
act_fn,1520,232.466
act_fn,1536,233.522
act_fn,1552,232.306
act_fn,1568,235.282
act_fn,1584,238.685
act_fn,1600,240.551
act_fn,1616,243.41
act_fn,1632,246.481
act_fn,1648,248.317
act_fn,1664,250.269
act_fn,1680,254.557
act_fn,1696,258.973
act_fn,1712,260.188
act_fn,1728,262.897
act_fn,1744,264.316
act_fn,1760,267.079
act_fn,1776,270.215
act_fn,1792,272.028
act_fn,1808,276.231
act_fn,1824,277.521
act_fn,1840,280.839
act_fn,1856,282.962
act_fn,1872,284.316
act_fn,1888,287.772
act_fn,1904,289.202
act_fn,1920,291.527
act_fn,1936,290.61
act_fn,1952,293.521
act_fn,1968,296.476
act_fn,1984,297.297
act_fn,2000,301.585
act_fn,2016,303.719
act_fn,2032,305.393
act_fn,2048,308.871
down_proj,1,214.685
down_proj,2,214.706
down_proj,3,215.815
down_proj,4,215.145
down_proj,5,215.848
down_proj,6,216.466
down_proj,7,217.458
down_proj,8,216.135
down_proj,9,216.637
down_proj,10,217.565
down_proj,11,217.864
down_proj,12,218.226
down_proj,13,218.237
down_proj,14,217.896
down_proj,15,219.442
down_proj,16,218.994
down_proj,20,216.573
down_proj,24,220.253
down_proj,28,218.323
down_proj,32,222.184
down_proj,36,221.597
down_proj,40,224.392
down_proj,44,224.637
down_proj,48,224.404
down_proj,52,225.159
down_proj,56,223.656
down_proj,60,233.437
down_proj,64,234.642
down_proj,80,271.143
down_proj,96,230.791
down_proj,112,232.402
down_proj,128,232.723
down_proj,144,255.836
down_proj,160,251.954
down_proj,176,254.598
down_proj,192,259.058
down_proj,208,392.878
down_proj,224,398.405
down_proj,240,407.397
down_proj,256,426.191
down_proj,272,560.13
down_proj,288,560.108
down_proj,304,562.872
down_proj,320,559.631
down_proj,336,563.074
down_proj,352,563.555
down_proj,368,567.33
down_proj,384,571.074
down_proj,400,537.847
down_proj,416,541.741
down_proj,432,539.896
down_proj,448,542.627
down_proj,464,541.785
down_proj,480,543.512
down_proj,496,542.306
down_proj,512,545.187
down_proj,528,589.112
down_proj,544,590.648
down_proj,560,594.092
down_proj,576,598.818
down_proj,592,599.789
down_proj,608,602.69
down_proj,624,607.138
down_proj,640,608.588
down_proj,656,727.937
down_proj,672,728.705
down_proj,688,728.949
down_proj,704,732.042
down_proj,720,734.091
down_proj,736,738.88
down_proj,752,740.713
down_proj,768,742.155
down_proj,784,833.803
down_proj,800,838.207
down_proj,816,840.745
down_proj,832,844.393
down_proj,848,846.26
down_proj,864,851.849
down_proj,880,852.383
down_proj,896,853.46
down_proj,912,1113.29
down_proj,928,1116.27
down_proj,944,1116.07
down_proj,960,1118.19
down_proj,976,1117.36
down_proj,992,1116.61
down_proj,1008,1120.03
down_proj,1024,1119.02
down_proj,1040,1120.44
down_proj,1056,1125.58
down_proj,1072,1126.03
down_proj,1088,1129.07
down_proj,1104,1131.69
down_proj,1120,1130.78
down_proj,1136,1129.72
down_proj,1152,1131.89
down_proj,1168,1136.95
down_proj,1184,1134.77
down_proj,1200,1138.03
down_proj,1216,1138.49
down_proj,1232,1140.06
down_proj,1248,1142.17
down_proj,1264,1142.26
down_proj,1280,1142.51
down_proj,1296,1305.25
down_proj,1312,1298.11
down_proj,1328,1310.59
down_proj,1344,1309.66
down_proj,1360,1311.17
down_proj,1376,1307.16
down_proj,1392,1319.48
down_proj,1408,1324.33
down_proj,1424,1700.27
down_proj,1440,1693.76
down_proj,1456,1697.59
down_proj,1472,1480.59
down_proj,1488,1483.07
down_proj,1504,1489.48
down_proj,1520,1489.53
down_proj,1536,1487.39
down_proj,1552,1487.4
down_proj,1568,1487.13
down_proj,1584,1490.77
down_proj,1600,1491.47
down_proj,1616,1495.33
down_proj,1632,1496.6
down_proj,1648,1611.17
down_proj,1664,1605.97
down_proj,1680,1649.81
down_proj,1696,1650.77
down_proj,1712,1615.2
down_proj,1728,1752.41
down_proj,1744,1868.4
down_proj,1760,1866.35
down_proj,1776,1877.64
down_proj,1792,1883
down_proj,1808,1863.59
down_proj,1824,1871.14
down_proj,1840,1873.31
down_proj,1856,1869.03
down_proj,1872,1873.89
down_proj,1888,1889.73
down_proj,1904,1898.86
down_proj,1920,1903.24
down_proj,1936,1989.23
down_proj,1952,1991.63
down_proj,1968,1999.72
down_proj,1984,1999.6
down_proj,2000,1999.89
down_proj,2016,2001.68
down_proj,2032,2009.94
down_proj,2048,2010.12
embedding,1,4.27767
embedding,2,4.512
embedding,3,4.76833
embedding,4,5.035
embedding,5,5.376
embedding,6,5.67467
embedding,7,5.909
embedding,8,5.973
embedding,9,6.47467
embedding,10,6.71967
embedding,11,6.986
embedding,12,7.21067
embedding,13,7.59433
embedding,14,7.78633
embedding,15,8.053
embedding,16,8.15967
embedding,20,3.648
embedding,24,3.56267
embedding,28,3.744
embedding,32,3.58367
embedding,36,3.85067
embedding,40,3.72267
embedding,44,3.904
embedding,48,3.787
embedding,52,3.98967
embedding,56,3.92533
embedding,60,4.07467
embedding,64,3.915
embedding,80,4.20267
embedding,96,4.28733
embedding,112,4.33033
embedding,128,4.33067
embedding,144,4.72533
embedding,160,4.81067
embedding,176,4.875
embedding,192,4.91767
embedding,208,4.981
embedding,224,5.04533
embedding,240,4.99267
embedding,256,5.12
embedding,272,5.65333
embedding,288,5.63167
embedding,304,5.70633
embedding,320,5.70667
embedding,336,5.99467
embedding,352,5.95133
embedding,368,6.05867
embedding,384,5.93067
embedding,400,6.18633
embedding,416,6.271
embedding,432,6.38933
embedding,448,6.53833
embedding,464,6.688
embedding,480,6.85833
embedding,496,6.98633
embedding,512,7.32767
embedding,528,7.36
embedding,544,7.445
embedding,560,7.72233
embedding,576,7.92533
embedding,592,8.256
embedding,608,8.21333
embedding,624,8.60767
embedding,640,8.81067
embedding,656,9.04533
embedding,672,9.525
embedding,688,9.57833
embedding,704,10.0903
embedding,720,10.176
embedding,736,10.325
embedding,752,10.8903
embedding,768,11.1253
embedding,784,11.3383
embedding,800,11.4987
embedding,816,12.224
embedding,832,12.3093
embedding,848,12.5653
embedding,864,12.725
embedding,880,13.0663
embedding,896,13.1837
embedding,912,13.4293
embedding,928,13.6953
embedding,944,14.0587
