layer,sequences,time_us
lm_head,1,1021.42
lm_head,2,1022.96
lm_head,3,1026.3
lm_head,4,1028.18
lm_head,5,1030.25
lm_head,6,1033.04
lm_head,7,1035.45
lm_head,8,1034.43
lm_head,9,1039
lm_head,10,1040.37
lm_head,11,1042.71
lm_head,12,1044.58
lm_head,13,1046.36
lm_head,14,1047.34
lm_head,15,1051.35
lm_head,16,1054.57
lm_head,20,986.7
lm_head,24,988.619
lm_head,28,990.998
lm_head,32,989.892
lm_head,36,992.609
lm_head,40,993.377
lm_head,44,991.648
lm_head,48,995.969
lm_head,52,999.009
lm_head,56,998.999
lm_head,60,997.122
lm_head,64,1003.27
lm_head,80,1014.64
lm_head,96,1021.2
lm_head,112,1024.79
lm_head,128,1033.59
lm_head,144,1190.07
lm_head,160,1196.16
lm_head,176,1203.15
lm_head,192,1139.39
lm_head,208,1330.38
lm_head,224,1174.58
lm_head,240,1178.71
lm_head,256,1185.93
sampler,1,38.8687
sampler,2,38.89
sampler,3,39.029
sampler,4,39.5093
sampler,5,41.2047
sampler,6,41.5567
sampler,7,41.9077
sampler,8,43.5943
sampler,9,46.431
sampler,10,50.282
sampler,11,54.2287
sampler,12,55.647
sampler,13,59.3273
sampler,14,60.788
sampler,15,62.1017
sampler,16,63.402
sampler,20,70.2503
sampler,24,76.596
sampler,28,83.0177
sampler,32,89.4283
sampler,36,96.286
sampler,40,103.529
sampler,44,110.452
sampler,48,118.964
sampler,52,126.43
sampler,56,135.123
sampler,60,143.454
sampler,64,152.318
sampler,80,187.849
sampler,96,224.871
sampler,112,259.42
sampler,128,294.289
sampler,144,327.633
sampler,160,362.854
sampler,176,398.353
sampler,192,435.631
sampler,208,471.087
sampler,224,506.212
sampler,240,541.039
sampler,256,606.488
