regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,64.933,67.174,66.341,0.6283
pure,2,1,0.5,4.0,0,0,256,1024,640,68.103,71.816,69.382,0.3445
pure,2,1,0.5,4.0,0,0,512,2048,1280,74.887,85.8,78.246,0.3078
pure,2,1,0.5,4.0,0,0,1024,4096,2560,92.999,118.631,98.537,0.2161
pure,2,1,0.5,4.0,0,0,2048,8192,5120,133.802,164.94,137.898,0.1315
pure,2,1,0.5,4.0,0,0,4096,16384,10240,210.448,266.005,197.198,-0.2385
mixed,2,1,0.5,4.0,16,0,128,512,320,56.068,75.526,75.432,0.9952
mixed,2,1,0.5,4.0,16,0,256,1024,640,86.183,118.698,118.632,0.998
mixed,2,1,0.5,4.0,16,0,512,2048,1280,140.237,205.488,205.201,0.9956
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,248.343,377.951,377.471,0.9963
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,463.59,722.492,721.564,0.9964
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,895.531,1420.085,1413.366,0.9872
mixed,2,1,0.5,4.0,16,512,128,512,320,75.942,79.112,75.847,-0.03
mixed,2,1,0.5,4.0,16,512,256,1024,640,86.504,118.763,118.922,1.0049
mixed,2,1,0.5,4.0,16,512,512,2048,1280,140.715,205.395,205.328,0.999
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,248.693,378.143,378.176,1.0003
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,463.911,723.035,721.564,0.9943
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,895.178,1420.437,1413.334,0.9865
mixed,2,1,0.5,4.0,16,1024,128,512,320,118.923,118.889,118.89,
mixed,2,1,0.5,4.0,16,1024,256,1024,640,119.145,122.154,118.956,-0.0628
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,140.427,205.521,205.36,0.9975
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,248.757,378.654,377.886,0.9941
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,464.169,723.262,721.307,0.9925
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,895.458,1420.021,1413.077,0.9868
