prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.5117
0,0,1,32,12.565
0,0,1,64,12.6183
0,0,1,128,18.0377
0,0,1,256,18.4527
0,0,1,512,19.488
0,0,1,1024,25.8233
0,0,1,2048,32.4267
0,0,1,4096,48.7887
0,0,1,8192,71.7753
0,0,1,16384,119.859
0,0,2,16,18.357
0,0,2,32,18.3897
0,0,2,64,18.6237
0,0,2,128,22.2507
0,0,2,256,23.2213
0,0,2,512,29.7067
0,0,2,1024,37.8877
0,0,2,2048,51.0923
0,0,2,4096,79.9027
0,0,2,8192,122.517
0,0,2,16384,215.017
0,0,4,16,18.4853
0,0,4,32,18.6983
0,0,4,64,19.0617
0,0,4,128,23.1467
0,0,4,256,29.7383
0,0,4,512,38.027
0,0,4,1024,49.7917
0,0,4,2048,73.802
0,0,4,4096,121.535
0,0,4,8192,215.711
0,0,4,16384,406.588
0,0,8,16,19.157
0,0,8,32,19.552
0,0,8,64,20.4053
0,0,8,128,30.4637
0,0,8,256,39.4243
0,0,8,512,50.176
0,0,8,1024,74.0057
0,0,8,2048,120.724
0,0,8,4096,216.041
0,0,8,8192,402.812
0,0,8,16384,777.283
0,0,16,16,25.3967
0,0,16,32,26.0793
0,0,16,64,27.4773
0,0,16,128,36.4047
0,0,16,256,50.4953
0,0,16,512,74.6127
0,0,16,1024,121.482
0,0,16,2048,215.518
0,0,16,4096,405.949
0,0,16,8192,780.346
0,0,16,16384,1536.11
0,0,32,16,37.451
0,0,32,32,38.358
0,0,32,64,41.461
0,0,32,128,57.4397
0,0,32,256,82.4843
0,0,32,512,131.551
0,0,32,1024,224.67
0,0,32,2048,413.096
0,0,32,4096,788.922
0,0,32,8192,1541.73
0,0,32,16384,3053.35
0,0,64,16,60.725
0,0,64,32,63.392
0,0,64,64,66.282
0,0,64,128,96.778
0,0,64,256,143.007
0,0,64,512,234.931
0,0,64,1024,423.368
0,0,64,2048,802.319
0,0,64,4096,1565.24
0,0,64,8192,3110.67
0,0,64,16384,6122.91
0,0,128,16,111.882
0,0,128,32,113.535
0,0,128,64,118.464
0,0,128,128,178.847
0,0,128,256,257.246
0,0,128,512,443.464
0,0,128,1024,815.269
0,0,128,2048,1570.92
0,0,128,4096,3086.65
0,0,128,8192,6117.65
0,0,128,16384,12152.4
0,0,256,16,210.111
0,0,256,32,218.676
0,0,256,64,225.033
0,0,256,128,339.934
0,0,256,256,483.624
0,0,256,512,845.094
0,0,256,1024,1597.6
0,0,256,2048,3099.08
0,0,256,4096,6117.2
0,0,256,8192,12168.9
0,0,256,16384,24254.2
16,0,0,0,12.7897
16,0,1,16,13.2263
16,0,1,32,13.2267
16,0,1,64,13.216
16,0,1,128,15.893
16,0,1,256,19.7227
16,0,1,512,27.5627
16,0,1,1024,43.2103
16,0,1,2048,75.2743
16,0,1,4096,136.554
16,0,1,8192,259.689
16,0,1,16384,505.501
