pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0068,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0459,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0064,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0015,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0569,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0023,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0117,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0213,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0132,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0042,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0661,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0046,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0194,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.1376,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0095,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.2354,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.2642,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2328,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.1947,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.2526,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1974,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.3288,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.3936,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.3468,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.2168,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2791,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.1797,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0847,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,-0.1847,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.3886,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0002,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0477,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0022,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0011,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0712,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0013,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.001,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0078,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0021,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0041,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0684,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0045,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0056,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1347,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0087,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1204,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1445,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.122,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1083,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1052,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0763,2
