measured_on,source,concurrency,kind,group_size,attention_size,executions,median_cycles,median_us,p05_us,p95_us
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c4.csv,4.0,decode,1,1024,1376,77311.0,48.319375,47.75125,49.11125
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c4.csv,4.0,decode,2,1024,1056,87715.0,54.821875,46.321875,57.13125
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c4.csv,4.0,decode,4,1024,736,80082.0,50.05125,48.15625,59.495
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c8.csv,8.0,decode,1,1024,96,77147.0,48.216875,47.690625,48.93875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c8.csv,8.0,decode,2,1024,352,87208.0,54.505,46.3225,56.89875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c8.csv,8.0,decode,4,1024,704,88053.0,55.033125,47.68,57.63625
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c8.csv,8.0,decode,8,1024,2528,108190.0,67.61875,64.6725,71.4025
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c16.csv,16.0,decode,1,1024,64,77252.0,48.2825,47.85625,49.153125
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c16.csv,16.0,decode,2,1024,32,85689.5,53.5559375,45.915,56.645625
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c16.csv,16.0,decode,4,1024,64,89474.0,55.92125,48.13375,57.2
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c16.csv,16.0,decode,8,1024,160,111833.0,69.895625,64.42125,71.00375
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket1024/edf/edf_c16.csv,16.0,decode,16,1024,3168,154433.0,96.520625,89.081875,109.27
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c4.csv,4.0,decode,1,2048,1984,62089.0,38.805625,38.148125,39.421875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c4.csv,4.0,decode,2,2048,2656,90913.0,56.820625,54.358125,57.656875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c4.csv,4.0,decode,4,2048,1568,121096.5,75.6853125,74.908125,76.700625
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c8.csv,8.0,decode,1,2048,64,61935.0,38.709375,38.168125,39.369375
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c8.csv,8.0,decode,2,2048,96,87860.5,54.9128125,54.185625,57.433125
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c8.csv,8.0,decode,4,2048,1696,123932.5,77.4578125,75.59875,78.53875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c8.csv,8.0,decode,8,2048,4832,171894.0,107.43375,104.51625,116.14875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c16.csv,16.0,decode,1,2048,64,62103.0,38.814375,38.255625,39.451875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c16.csv,16.0,decode,2,2048,96,87819.0,54.886875,54.104375,57.336875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c16.csv,16.0,decode,4,2048,128,122775.0,76.734375,74.5375,78.11
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c16.csv,16.0,decode,8,2048,256,176334.0,110.20875,104.10875,116.28875
npu2-pci-45-00-0,outputs/npu_spike/c3_bucket2048/edf/edf_c16.csv,16.0,decode,16,2048,5952,273726.0,171.07875,159.49875,177.84875
