layer,sequences,time_us
lm_head,1,1346.6248000000003
lm_head,2,1352.1844000000067
lm_head,4,1373.3876
lm_head,8,1383.0656000000022
lm_head,16,1391.281000000005
lm_head,32,1541.509799999996
lm_head,64,1649.221400000001
lm_head,128,1437.9222000000168
lm_head,256,2598.3570000000095
sampler,1,9.232800000000134
sampler,2,13.942000000000098
sampler,4,15.051400000000513
sampler,8,21.724600000000102
sampler,16,38.01199999999953
sampler,32,67.81240000000007
sampler,64,122.98259999999945
sampler,128,218.05039999999872
sampler,256,371.8255999999998
