prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.35233
0,0,1,32,8.45867
0,0,1,64,8.437
0,0,1,128,11.936
0,0,1,256,12.2347
0,0,1,512,12.6507
0,0,1,1024,14.592
0,0,1,2048,18.795
0,0,1,4096,27.157
0,0,1,8192,37.9733
0,0,1,16384,62.3787
0,0,2,16,12.5653
0,0,2,32,12.704
0,0,2,64,12.8633
0,0,2,128,15.3923
0,0,2,256,15.8513
0,0,2,512,16.7577
0,0,2,1024,20.6177
0,0,2,2048,27.5193
0,0,2,4096,38.806
0,0,2,8192,62.3257
0,0,2,16384,106.677
0,0,4,16,12.8527
0,0,4,32,13.046
0,0,4,64,12.9597
0,0,4,128,15.8827
0,0,4,256,17.067
0,0,4,512,19.4673
0,0,4,1024,26.304
0,0,4,2048,37.7173
0,0,4,4096,59.4563
0,0,4,8192,106.795
0,0,4,16384,194.699
0,0,8,16,13.205
0,0,8,32,13.2383
0,0,8,64,13.643
0,0,8,128,16.608
0,0,8,256,20.5443
0,0,8,512,25.206
0,0,8,1024,36.9283
0,0,8,2048,60.4047
0,0,8,4096,108.16
0,0,8,8192,196.268
0,0,8,16384,373.653
0,0,16,16,13.1517
0,0,16,32,13.632
0,0,16,64,14.3467
0,0,16,128,20.0743
0,0,16,256,26.027
0,0,16,512,36.1707
0,0,16,1024,60.288
0,0,16,2048,110.304
0,0,16,4096,205.037
0,0,16,8192,379.735
0,0,16,16384,729.303
0,0,32,16,17.888
0,0,32,32,18.208
0,0,32,64,19.7977
0,0,32,128,26.1327
0,0,32,256,37.291
0,0,32,512,63.19
0,0,32,1024,119.286
0,0,32,2048,212.277
0,0,32,4096,390.336
0,0,32,8192,742.958
0,0,32,16384,1441.75
0,0,64,16,22.8047
0,0,64,32,23.7437
0,0,64,64,26.5497
0,0,64,128,39.093
0,0,64,256,68.5337
0,0,64,512,127.446
0,0,64,1024,221.237
0,0,64,2048,397.729
0,0,64,4096,753.506
0,0,64,8192,1458.02
0,0,64,16384,2855.09
0,0,128,16,35.798
0,0,128,32,37.0237
0,0,128,64,44.2347
0,0,128,128,74.3043
0,0,128,256,134.774
0,0,128,512,229.077
0,0,128,1024,404.865
0,0,128,2048,760.119
0,0,128,4096,1461.14
0,0,128,8192,2854.95
0,0,128,16384,5654.07
0,0,256,16,62.262
0,0,256,32,64.4903
0,0,256,64,76.2137
0,0,256,128,125.036
0,0,256,256,220.705
0,0,256,512,397.324
0,0,256,1024,754.755
0,0,256,2048,1452.78
0,0,256,4096,2856.19
0,0,256,8192,5645.5
0,0,256,16384,11238.9
16,0,0,0,7.76533
16,0,1,16,7.936
16,0,1,32,7.92533
16,0,1,64,7.968
16,0,1,128,9.72733
16,0,1,256,12.2987
16,0,1,512,17.259
16,0,1,1024,28.1387
16,0,1,2048,50.432
16,0,1,4096,94.795
16,0,1,8192,184.96
16,0,1,16384,363.893
16,0,2,16,7.72233
16,0,2,32,7.74333
16,0,2,64,7.744
16,0,2,128,9.707
16,0,2,256,12.3733
16,0,2,512,17.387
16,0,2,1024,28.2033
16,0,2,2048,50.4213
16,0,2,4096,95.008
16,0,2,8192,185.814
16,0,2,16384,362.23
16,0,4,16,7.82933
16,0,4,32,7.819
16,0,4,64,7.89333
16,0,4,128,9.888
16,0,4,256,12.534
16,0,4,512,17.7063
16,0,4,1024,29.1517
16,0,4,2048,51.755
16,0,4,4096,97.3547
16,0,4,8192,188.971
16,0,4,16384,367.03
16,0,8,16,12.4057
16,0,8,32,12.224
16,0,8,64,12.4157
16,0,8,128,16.6827
16,0,8,256,22.1653
16,0,8,512,32.7253
16,0,8,1024,55.2537
16,0,8,2048,99.8507
16,0,8,4096,189.056
16,0,8,8192,372.609
16,0,8,16384,733.571
16,0,16,16,16.405
16,0,16,32,16.5763
16,0,16,64,16.7673
16,0,16,128,24.1283
16,0,16,256,32.2557
16,0,16,512,48.7143
16,0,16,1024,82.4107
16,0,16,2048,148.768
16,0,16,4096,280.683
16,0,16,8192,562.347
16,0,16,16384,1100.45
16,0,32,16,28.8853
16,0,32,32,28.992
16,0,32,64,29.4933
16,0,32,128,44.2243
16,0,32,256,61.355
16,0,32,512,94.8697
16,0,32,1024,165.664
16,0,32,2048,294.774
16,0,32,4096,575.085
16,0,32,8192,1181.34
16,0,32,16384,2308.06
16,0,64,16,52.4907
16,0,64,32,52.8323
16,0,64,64,54.1653
16,0,64,128,82.528
16,0,64,256,115.926
16,0,64,512,181.249
16,0,64,1024,310.496
16,0,64,2048,553.431
16,0,64,4096,1436.27
16,0,64,8192,2908.61
16,0,64,16384,5889.57
16,0,128,16,96.0853
16,0,128,32,97.28
16,0,128,64,101.419
16,0,128,128,163.307
16,0,128,256,241.334
16,0,128,512,388.183
16,0,128,1024,671.672
16,0,128,2048,1541.35
16,0,128,4096,4299.36
16,0,128,8192,8722.76
16,0,128,16384,21061.1
16,16,0,0,8.192
16,16,1,16,8.032
16,16,1,32,8.17067
16,16,1,64,8.14933
16,16,1,128,9.74933
16,16,1,256,12.405
16,16,1,512,17.3547
