layer,tokens,time_us
act_fn,1,2.67733
act_fn,2,2.848
act_fn,3,2.90133
act_fn,4,2.92233
act_fn,5,2.944
act_fn,6,2.944
act_fn,7,3.01867
act_fn,8,2.96567
act_fn,9,3.01833
act_fn,10,2.965
act_fn,11,2.98633
act_fn,12,2.98667
act_fn,13,3.072
act_fn,14,2.98633
act_fn,15,3.008
act_fn,16,2.987
act_fn,20,3.05033
act_fn,24,2.96533
act_fn,28,3.01867
act_fn,32,3.02967
act_fn,36,3.14667
act_fn,40,3.136
act_fn,44,3.14633
act_fn,48,3.371
act_fn,52,3.15733
act_fn,56,3.18933
act_fn,60,3.14667
act_fn,64,3.115
act_fn,80,3.14667
act_fn,96,3.16833
act_fn,112,3.28533
act_fn,128,3.35967
act_fn,144,3.467
act_fn,160,3.669
act_fn,176,3.81867
act_fn,192,5.70633
act_fn,208,6.31467
act_fn,224,6.35733
act_fn,240,6.38933
act_fn,256,6.347
act_fn,272,6.784
act_fn,288,6.93367
act_fn,304,7.11467
act_fn,320,7.28533
act_fn,336,7.41367
act_fn,352,7.84033
act_fn,368,8.128
act_fn,384,8.8
act_fn,400,8.40533
act_fn,416,8.85333
act_fn,432,9.16233
act_fn,448,9.344
act_fn,464,9.37667
act_fn,480,9.6
act_fn,496,9.73867
act_fn,512,9.86667
act_fn,528,11.7543
act_fn,544,12
act_fn,560,12.736
act_fn,576,13.5893
act_fn,592,13.5257
act_fn,608,14.1547
act_fn,624,14.88
act_fn,640,15.6693
act_fn,656,12.032
act_fn,672,12.4377
act_fn,688,12.4483
act_fn,704,12.6617
act_fn,720,12.821
act_fn,736,19.0183
act_fn,752,19.6587
act_fn,768,20.1067
act_fn,784,14.0477
act_fn,800,14.5177
act_fn,816,14.5493
act_fn,832,14.8373
act_fn,848,15.3917
act_fn,864,15.989
act_fn,880,16.1917
act_fn,896,16.864
act_fn,912,28.8643
act_fn,928,29.664
act_fn,944,30.8373
act_fn,960,32.021
act_fn,976,32.6293
act_fn,992,33.2587
act_fn,1008,33.728
act_fn,1024,34.667
act_fn,1040,33.8557
act_fn,1056,34.72
act_fn,1072,35.7863
act_fn,1088,37.088
act_fn,1104,37.909
act_fn,1120,39.061
act_fn,1136,40.064
act_fn,1152,41.3013
act_fn,1168,44.2877
act_fn,1184,44.6613
act_fn,1200,45.3227
act_fn,1216,46.528
act_fn,1232,46.7953
act_fn,1248,47.8937
act_fn,1264,48.6613
act_fn,1280,49.6213
act_fn,1296,51.7017
act_fn,1312,52.8427
act_fn,1328,53.824
act_fn,1344,54.9867
act_fn,1360,55.3707
act_fn,1376,55.8933
act_fn,1392,56.9387
act_fn,1408,57.835
act_fn,1424,58.784
act_fn,1440,59.1577
act_fn,1456,59.6583
act_fn,1472,60.9493
act_fn,1488,62.3677
act_fn,1504,62.677
act_fn,1520,64.0427
act_fn,1536,64.5547
act_fn,1552,65.7813
act_fn,1568,66.624
act_fn,1584,67.2107
act_fn,1600,68.225
act_fn,1616,68.896
act_fn,1632,70.432
act_fn,1648,70.1547
act_fn,1664,71.499
act_fn,1680,72.288
act_fn,1696,72.9067
act_fn,1712,74.2613
act_fn,1728,74.5593
act_fn,1744,75.701
act_fn,1760,76.9497
act_fn,1776,78.3787
act_fn,1792,78.1547
act_fn,1808,81.2587
act_fn,1824,81.7067
act_fn,1840,83.637
act_fn,1856,83.3173
act_fn,1872,84.235
act_fn,1888,84.8533
act_fn,1904,85.291
act_fn,1920,87.2217
act_fn,1936,88.15
act_fn,1952,89.8777
act_fn,1968,90.976
act_fn,1984,91.307
act_fn,2000,91.584
act_fn,2016,93.0777
act_fn,2032,93.5683
act_fn,2048,94.3577
down_proj,1,85.5257
down_proj,2,80.6187
down_proj,3,80.8643
down_proj,4,80.5127
down_proj,5,80.7467
down_proj,6,81.1093
down_proj,7,81.1313
down_proj,8,81.1203
down_proj,9,81.099
down_proj,10,81.0137
down_proj,11,81.1207
down_proj,12,81.173
down_proj,13,81.0247
down_proj,14,81.2477
down_proj,15,81.248
down_proj,16,81.6317
down_proj,20,84.843
down_proj,24,84.8747
down_proj,28,85.5367
down_proj,32,84.7893
down_proj,36,96.352
down_proj,40,95.744
down_proj,44,95.787
down_proj,48,94.1657
down_proj,52,95.9253
down_proj,56,96.3633
down_proj,60,96.3847
down_proj,64,96.757
down_proj,80,90.976
down_proj,96,92.6617
down_proj,112,94.5703
down_proj,128,94.4853
down_proj,144,116.149
down_proj,160,116.662
down_proj,176,111.574
down_proj,192,113.322
down_proj,208,112.021
down_proj,224,114.57
down_proj,240,115.019
down_proj,256,116.352
down_proj,272,136.117
down_proj,288,136.373
down_proj,304,136.758
down_proj,320,137.546
down_proj,336,137.365
down_proj,352,137.803
down_proj,368,137.76
down_proj,384,138.581
down_proj,400,177.28
down_proj,416,177.866
down_proj,432,178.218
down_proj,448,178.517
down_proj,464,178.155
down_proj,480,179.371
down_proj,496,180.555
down_proj,512,180.427
down_proj,528,198.196
down_proj,544,198.251
down_proj,560,197.771
down_proj,576,198.283
down_proj,592,199.327
down_proj,608,199.766
down_proj,624,199.905
down_proj,640,200.267
down_proj,656,255.52
down_proj,672,255.19
down_proj,688,255.007
down_proj,704,255.403
down_proj,720,255.583
down_proj,736,254.785
down_proj,752,254.922
down_proj,768,255.914
down_proj,784,265.59
down_proj,800,265.526
down_proj,816,264.192
down_proj,832,264.608
down_proj,848,266.528
down_proj,864,266.123
down_proj,880,265.578
down_proj,896,267.52
down_proj,912,316.373
down_proj,928,316.821
down_proj,944,317.376
down_proj,960,317.408
down_proj,976,316.608
down_proj,992,316.545
down_proj,1008,316.981
down_proj,1024,317.6
down_proj,1040,341.067
down_proj,1056,341.739
down_proj,1072,341.301
down_proj,1088,341.739
down_proj,1104,341.632
down_proj,1120,342.698
down_proj,1136,342.677
down_proj,1152,343.317
down_proj,1168,377.653
down_proj,1184,377.44
down_proj,1200,378.07
down_proj,1216,378.357
down_proj,1232,378.688
down_proj,1248,381.259
down_proj,1264,382.112
down_proj,1280,379.745
down_proj,1296,419.275
down_proj,1312,420.385
down_proj,1328,414.953
down_proj,1344,414.113
down_proj,1360,415.072
down_proj,1376,415.093
down_proj,1392,417.995
down_proj,1408,416.139
down_proj,1424,496.479
down_proj,1440,494.283
down_proj,1456,493.429
down_proj,1472,494.774
down_proj,1488,496.47
down_proj,1504,496.906
down_proj,1520,497.791
down_proj,1536,497.588
down_proj,1552,499.445
down_proj,1568,498.849
down_proj,1584,499.403
down_proj,1600,498.668
down_proj,1616,499.307
down_proj,1632,503.627
down_proj,1648,508.234
down_proj,1664,509.249
down_proj,1680,509.761
down_proj,1696,511.094
down_proj,1712,510.849
down_proj,1728,511.851
down_proj,1744,511.541
down_proj,1760,511.937
down_proj,1776,512.619
down_proj,1792,513.397
down_proj,1808,549.558
down_proj,1824,550.252
down_proj,1840,550.795
down_proj,1856,550.796
down_proj,1872,550.101
down_proj,1888,551.008
down_proj,1904,552.096
down_proj,1920,552.289
down_proj,1936,606.284
down_proj,1952,606.198
down_proj,1968,606.763
down_proj,1984,609.206
down_proj,2000,608.533
down_proj,2016,608.011
down_proj,2032,608.769
down_proj,2048,608.715
embedding,1,3.14667
embedding,2,3.38133
embedding,3,3.605
embedding,4,3.80767
embedding,5,4.213
embedding,6,4.384
embedding,7,4.651
embedding,8,4.64
embedding,9,5.20533
embedding,10,5.38633
embedding,11,5.58933
embedding,12,5.88833
embedding,13,6.17567
embedding,14,6.4
embedding,15,6.688
embedding,16,6.656
embedding,20,2.97567
embedding,24,2.76267
embedding,28,3.01867
embedding,32,2.741
embedding,36,2.91167
embedding,40,2.773
embedding,44,2.94367
embedding,48,2.76267
embedding,52,2.92267
embedding,56,2.784
embedding,60,2.99733
embedding,64,2.869
embedding,80,2.95467
embedding,96,2.93333
embedding,112,3.00767
embedding,128,3.01867
embedding,144,3.424
embedding,160,3.477
embedding,176,3.57333
embedding,192,3.734
embedding,208,3.70133
embedding,224,3.712
embedding,240,3.68
embedding,256,3.67967
embedding,272,4.02133
embedding,288,4.08567
embedding,304,4.11733
embedding,320,4.096
embedding,336,4.14967
embedding,352,4.18133
embedding,368,4.192
embedding,384,4.24533
embedding,400,4.61867
embedding,416,4.597
embedding,432,4.66167
embedding,448,4.704
embedding,464,4.69333
embedding,480,4.746
embedding,496,4.77867
embedding,512,4.832
embedding,528,4.81033
embedding,544,4.95
embedding,560,4.91667
embedding,576,5.11967
embedding,592,5.19567
embedding,608,5.38767
embedding,624,5.184
embedding,640,5.333
embedding,656,5.301
embedding,672,5.37633
embedding,688,5.33367
embedding,704,5.355
embedding,720,5.48267
embedding,736,5.43933
embedding,752,5.44
embedding,768,5.51467
embedding,784,5.53633
embedding,800,5.56767
embedding,816,5.43967
embedding,832,5.42933
embedding,848,5.696
embedding,864,5.696
embedding,880,5.49367
embedding,896,5.70667
embedding,912,5.728
embedding,928,5.74933
embedding,944,5.824
embedding,960,5.83467
embedding,976,5.61067
embedding,992,5.6
embedding,1008,5.62233
embedding,1024,5.68533
embedding,1040,5.728
embedding,1056,5.792
embedding,1072,5.86633
embedding,1088,5.824
embedding,1104,5.96267
embedding,1120,5.92
embedding,1136,5.98367
embedding,1152,6.112
embedding,1168,6.06933
embedding,1184,6.091
embedding,1200,6.133
embedding,1216,6.15467
embedding,1232,6.21867
embedding,1248,6.50667
embedding,1264,6.52767
embedding,1280,6.304
embedding,1296,6.31467
embedding,1312,6.31467
embedding,1328,6.421
embedding,1344,6.613
embedding,1360,6.432
embedding,1376,6.53833
embedding,1392,6.827
embedding,1408,6.77333
embedding,1424,6.912
embedding,1440,6.69833
embedding,1456,6.62467
embedding,1472,6.79467
embedding,1488,6.73033
embedding,1504,6.86933
embedding,1520,6.89067
embedding,1536,6.76267
embedding,1552,6.848
embedding,1568,6.96633
embedding,1584,6.912
embedding,1600,6.93267
embedding,1616,6.96533
embedding,1632,7.33933
embedding,1648,7.041
embedding,1664,7.189
embedding,1680,7.14633
embedding,1696,7.26267
embedding,1712,7.16767
embedding,1728,7.27467
embedding,1744,7.24267
embedding,1760,7.26367
embedding,1776,7.339
embedding,1792,7.36033
embedding,1808,7.349
embedding,1824,7.42367
embedding,1840,7.435
embedding,1856,7.42333
embedding,1872,7.45567
embedding,1888,7.60567
embedding,1904,7.712
embedding,1920,7.723
embedding,1936,7.605
embedding,1952,7.71333
embedding,1968,7.72267
embedding,1984,7.807
embedding,2000,7.819
embedding,2016,7.78633
embedding,2032,8.011
embedding,2048,7.904
final_layernorm,1,2.42167
final_layernorm,2,2.51667
final_layernorm,3,2.53867
final_layernorm,4,2.53833
final_layernorm,5,2.528
final_layernorm,6,2.54933
final_layernorm,7,2.549
final_layernorm,8,2.57033
final_layernorm,9,2.56
final_layernorm,10,2.624
final_layernorm,11,2.54933
final_layernorm,12,2.58133
final_layernorm,13,2.56
final_layernorm,14,2.53867
final_layernorm,15,2.57067
final_layernorm,16,2.57067
final_layernorm,20,2.70933
final_layernorm,24,2.69833
final_layernorm,28,2.70933
final_layernorm,32,2.731
final_layernorm,36,2.73067
final_layernorm,40,2.77333
final_layernorm,44,2.80533
final_layernorm,48,2.76233
final_layernorm,52,2.73067
final_layernorm,56,2.76267
final_layernorm,60,2.80467
final_layernorm,64,2.80533
final_layernorm,80,2.84833
final_layernorm,96,3.23233
final_layernorm,112,3.46667
final_layernorm,128,3.2
final_layernorm,144,3.46667
final_layernorm,160,3.59467
final_layernorm,176,3.70167
final_layernorm,192,4.597
final_layernorm,208,4.86433
final_layernorm,224,4.896
final_layernorm,240,5.11967
final_layernorm,256,4.40567
final_layernorm,272,4.39467
final_layernorm,288,4.693
final_layernorm,304,4.832
final_layernorm,320,4.74667
final_layernorm,336,4.85333
final_layernorm,352,4.91733
final_layernorm,368,4.98133
final_layernorm,384,5.536
final_layernorm,400,5.493
final_layernorm,416,5.6
final_layernorm,432,5.67467
final_layernorm,448,5.67433
final_layernorm,464,5.824
final_layernorm,480,6.00567
final_layernorm,496,6.02633
final_layernorm,512,6.09067
final_layernorm,528,6.25067
final_layernorm,544,6.443
final_layernorm,560,6.70933
final_layernorm,576,6.79467
final_layernorm,592,6.912
final_layernorm,608,7.115
final_layernorm,624,7.243
final_layernorm,640,7.37067
final_layernorm,656,7.37067
final_layernorm,672,7.45633
final_layernorm,688,7.552
final_layernorm,704,7.659
final_layernorm,720,7.87167
final_layernorm,736,8.192
final_layernorm,752,8.18033
final_layernorm,768,8.064
final_layernorm,784,8.672
final_layernorm,800,8.82133
final_layernorm,816,8.75733
final_layernorm,832,8.736
final_layernorm,848,9.088
final_layernorm,864,9.19433
final_layernorm,880,9.29067
final_layernorm,896,9.54667
final_layernorm,912,9.568
final_layernorm,928,9.76
final_layernorm,944,9.93067
final_layernorm,960,10.3473
final_layernorm,976,10.208
final_layernorm,992,10.1867
final_layernorm,1008,10.2933
final_layernorm,1024,10.8053
final_layernorm,1040,10.5493
final_layernorm,1056,10.9117
final_layernorm,1072,10.9657
final_layernorm,1088,10.9547
final_layernorm,1104,11.3173
final_layernorm,1120,11.3923
final_layernorm,1136,13.045
final_layernorm,1152,13.3973
final_layernorm,1168,13.216
final_layernorm,1184,13.3227
final_layernorm,1200,13.6643
final_layernorm,1216,13.6323
final_layernorm,1232,13.6323
final_layernorm,1248,14.0697
final_layernorm,1264,14.2827
