layer,sequences,time_us
lm_head,1,714.006
lm_head,2,687.06
lm_head,3,687.744
lm_head,4,688.287
lm_head,5,688.694
lm_head,6,690.912
lm_head,7,690.401
lm_head,8,690.934
lm_head,9,691.456
lm_head,10,692.672
lm_head,11,693.76
lm_head,12,693.612
lm_head,13,694.219
lm_head,14,694.539
lm_head,15,695.83
lm_head,16,697.132
lm_head,20,701.153
lm_head,24,702.773
lm_head,28,705.132
lm_head,32,704.556
lm_head,36,705.857
lm_head,40,708.695
lm_head,44,708.193
lm_head,48,709.506
lm_head,52,711.201
lm_head,56,713.42
lm_head,60,712.279
lm_head,64,715.575
lm_head,80,719.533
lm_head,96,728.855
lm_head,112,727.245
lm_head,128,734.306
lm_head,144,744.301
lm_head,160,810.317
lm_head,176,813.165
lm_head,192,817.443
lm_head,208,820.685
lm_head,224,824.376
lm_head,240,826.552
lm_head,256,831.491
sampler,1,24.746
sampler,2,25.8337
sampler,3,26.0483
sampler,4,26.0063
sampler,5,26.1653
sampler,6,26.2617
sampler,7,26.4537
sampler,8,26.3783
sampler,9,26.464
sampler,10,28.0213
sampler,11,28.3837
sampler,12,28.63
sampler,13,28.6507
sampler,14,28.48
sampler,15,28.8427
sampler,16,28.63
sampler,20,30.037
sampler,24,30.752
sampler,28,31.8397
sampler,32,32.778
sampler,36,33.5467
sampler,40,34.7733
sampler,44,35.5093
sampler,48,36.6293
sampler,52,37.505
sampler,56,38.3893
sampler,60,39.6483
sampler,64,40.4057
sampler,80,44.8
sampler,96,49.4083
sampler,112,56.0433
sampler,128,63.766
sampler,144,74.5603
sampler,160,82.9337
sampler,176,108.821
sampler,192,118.101
sampler,208,128.363
sampler,224,138.656
sampler,240,151.051
sampler,256,164.15
