regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,46.497,50.143,47.297,0.2194
pure,2,1,0.5,4.0,0,0,256,1024,640,51.745,59.457,52.833,0.1411
pure,2,1,0.5,4.0,0,0,512,2048,1280,64.256,80.162,68.064,0.2394
pure,2,1,0.5,4.0,0,0,1024,4096,2560,90.176,113.536,89.345,-0.0356
pure,2,1,0.5,4.0,0,0,2048,8192,5120,131.999,185.599,133.376,0.0257
pure,2,1,0.5,4.0,0,0,4096,16384,10240,218.02,319.52,219.649,0.016
mixed,2,1,0.5,4.0,16,0,128,512,320,37.729,52.094,51.681,0.9712
mixed,2,1,0.5,4.0,16,0,256,1024,640,60.127,84.513,84.128,0.9842
mixed,2,1,0.5,4.0,16,0,512,2048,1280,99.422,151.553,150.368,0.9773
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,183.586,284.32,282.561,0.9825
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,350.849,553.601,552.192,0.9931
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,686.69,1087.715,1086.021,0.9958
mixed,2,1,0.5,4.0,16,512,128,512,320,52.064,52.416,52.096,0.0909
mixed,2,1,0.5,4.0,16,512,256,1024,640,60.032,84.544,84.096,0.9817
mixed,2,1,0.5,4.0,16,512,512,2048,1280,100.128,152.001,151.104,0.9827
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,186.304,284.959,284.832,0.9987
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,351.392,553.44,551.585,0.9908
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,686.85,1086.439,1088.964,1.0063
mixed,2,1,0.5,4.0,16,1024,128,512,320,84.192,84.929,84.16,-0.0434
mixed,2,1,0.5,4.0,16,1024,256,1024,640,85.057,85.663,84.865,-0.3168
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,99.776,152.417,151.554,0.9836
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,185.857,286.018,284.547,0.9853
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,352.513,552.738,551.585,0.9942
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,686.815,1085.22,1086.373,1.0029
mixed,2,1,0.5,4.0,16,2048,128,512,320,150.976,151.903,151.232,0.2762
mixed,2,1,0.5,4.0,16,2048,256,1024,640,151.841,152.64,151.36,-0.602
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,153.185,153.827,152.898,-0.447
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,186.627,286.657,284.767,0.9811
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,351.393,556.483,553.955,0.9877
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,687.651,1088.422,1089.671,1.0031
mixed,2,1,0.5,4.0,16,4096,128,512,320,284.193,284.77,284.064,-0.2236
mixed,2,1,0.5,4.0,16,4096,256,1024,640,284.544,285.728,284.577,0.0279
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,285.92,287.169,284.032,-1.5116
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,286.016,286.402,285.857,-0.4119
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,353.026,555.555,552.067,0.9828
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,687.715,1088.707,1090.37,1.0041
mixed,2,1,0.5,4.0,16,8192,128,512,320,551.136,552.96,552.0,0.4737
mixed,2,1,0.5,4.0,16,8192,256,1024,640,551.424,552.256,552.77,1.6178
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,552.545,552.897,552.163,-1.0852
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,553.633,553.119,553.632,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,556.672,556.355,556.355,
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,688.415,1088.128,1087.65,0.9988
mixed,2,1,0.5,4.0,32,0,128,512,320,37.664,52.482,51.49,0.9331
mixed,2,1,0.5,4.0,32,0,256,1024,640,60.225,84.832,84.065,0.9688
mixed,2,1,0.5,4.0,32,0,512,2048,1280,99.775,150.977,150.304,0.9869
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,184.928,283.651,284.384,1.0074
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,352.288,550.784,552.799,1.0102
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,688.962,1089.155,1088.867,0.9993
mixed,2,1,0.5,4.0,32,512,128,512,320,52.226,52.801,52.897,1.167
mixed,2,1,0.5,4.0,32,512,256,1024,640,60.064,84.641,83.936,0.9713
mixed,2,1,0.5,4.0,32,512,512,2048,1280,100.064,151.744,151.36,0.9926
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,185.695,285.889,284.065,0.9818
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,350.784,554.273,554.464,1.0009
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,688.321,1089.088,1089.822,1.0018
mixed,2,1,0.5,4.0,32,1024,128,512,320,84.642,85.186,84.799,0.2886
mixed,2,1,0.5,4.0,32,1024,256,1024,640,85.152,85.825,84.96,-0.2853
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,100.127,152.226,151.136,0.9791
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,186.11,285.089,285.888,1.0081
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,352.194,557.092,551.875,0.9745
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,687.042,1087.874,1089.666,1.0045
mixed,2,1,0.5,4.0,32,2048,128,512,320,151.071,151.746,151.201,0.1926
mixed,2,1,0.5,4.0,32,2048,256,1024,640,152.704,152.767,151.967,-11.6984
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,152.831,153.92,152.224,-0.5574
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,186.367,286.177,286.081,0.999
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,352.001,557.152,553.729,0.9833
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,690.561,1089.922,1093.538,1.0091
mixed,2,1,0.5,4.0,32,4096,128,512,320,285.247,284.831,283.999,
mixed,2,1,0.5,4.0,32,4096,256,1024,640,285.922,285.249,284.576,
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,286.144,286.881,285.952,-0.2605
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,286.944,287.392,287.521,1.2879
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,351.968,555.743,553.28,0.9879
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,688.449,1089.632,1092.384,1.0069
mixed,2,1,0.5,4.0,32,8192,128,512,320,550.368,553.472,551.683,0.4236
mixed,2,1,0.5,4.0,32,8192,256,1024,640,553.634,554.081,553.312,-0.7204
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,552.479,553.345,552.767,0.3326
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,554.337,554.976,552.545,-2.8044
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,556.449,558.368,558.401,1.0172
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,688.768,1090.883,1092.193,1.0033
mixed,2,1,0.5,4.0,64,0,128,512,320,38.111,53.055,52.128,0.938
