pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0328,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.035,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0311,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.026,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0265,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0155,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0415,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0358,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.041,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0133,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0062,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0051,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.1023,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.1008,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.1107,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0003,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,-0.0052,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0006,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0067,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0443,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0019,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0235,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0246,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0069,2
0,n<=16,sr>70%,kvB<=16k,kp=0,-0.0144,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.0047,4
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0125,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0182,2
